area	name	description
lambeth-contaminated-land:91	Lilian Baylis School, Vauxhall, Off Kennington Lane	A gas works, including two gasholders is situated 150m to the east of the site. Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education. Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:92	Lilian Baylis School, Vauxhall, Off Kennington Lane	to the west of the site, a brewery has been constructed on previous residential dwellings. The gas works to the East has been expanded with three further gasholders. To the north east of the site, residential property has been replaced with a school, Dri
lambeth-contaminated-land:93	Lilian Baylis School, Vauxhall, Off Kennington Lane	Gas holders previously shown not plotted. The crown works has been constructed to the south west of the site, including a traverse crane and two water wells. Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Edu
lambeth-contaminated-land:94	Lilian Baylis School, Vauxhall, Off Kennington Lane	The Crown Works has been expanded, and the Imperial Marble Works has been constructed adjacent to Crown Works Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education. Source Wimpey Homes Housing Initiatives
lambeth-contaminated-land:95	Lilian Baylis School, Vauxhall, Off Kennington Lane	: One of the five gasholders is marked as a ruin. The large structure to the east of the site on Farnham Royal has been expanded after the removal of residential housing. The brewery to the west of the site is shown as a Food Extract Factory, two tanks an
lambeth-contaminated-land:96	Lilian Baylis School, Vauxhall, Off Kennington Lane	The large structure to the east of the site is shown as a Chemical Works. Gasholders have been reinstated. A building to the north east of the site is shown as an engineering works. Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil
lambeth-contaminated-land:97	Lilian Baylis School, Vauxhall, Off Kennington Lane	The engineering works is now shown as an Electrical Engineering Works. To the south of this a Garage is shown. Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education. Source Wimpey Homes Housing Initiatives
lambeth-contaminated-land:98	Lilian Baylis School, Vauxhall, Off Kennington Lane	Potential sources of contamination in the vicinity (250m of the site): Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education.
lambeth-contaminated-land:99	Lilian Baylis School, Vauxhall, Off Kennington Lane	Copyprint (UK), Lithographic Printers Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education.
lambeth-contaminated-land:100	Lilian Baylis School, Vauxhall, Off Kennington Lane	Madeart, Printers - General Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
