"OrganisationURI","OrganisationLabel","SiteReference","PreviouslyPartOf","SiteNameAddress","SitePlanURL","CoordinateReferenceSystem","GeoX","GeoY","Hectares","OwnershipStatus","Deliverable","PlanningStatus","PermissionType","PermissionDate","PlanningHistory","ProposedForPIP","MinNetDwellings","DevelopmentDescription","NonHousingDevelopment","Part2","NetDwellingsRangeFrom","NetDwellingsRangeTo","HazardousSubstances","SiteInformation","Notes","FirstAddedDate","LastUpdatedDate","Easting","Northing"
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00628/AVA",,"Eastwood & District Victory Club Walker Street Eastwood","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00628%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00628%2FAVA","ETRS89","-1.299998","53.017205","0.24","not owned by a public authority","yes","permissioned","full planning permission","2017-03-28",,,16,"Construct 16 dwellings, access road and associated landscaping including demolition of the Victory club",,,,,,,,"2017-12-13","2017-12-13",447058,346884
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00521/AVA",,"Beamlight Newmanleys Road Eastwood","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00521%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00521%2FAVA","ETRS89","-1.307039","53.0076","3.57","not owned by a public authority","yes","permissioned","outline planning permission","2015-05-21",,,150,"Outline application to construct 150 dwellings, the formation of a primary access to the site, infrastructure, open space provision, land remediation, gas vent trench and surface water attenuation with some matters reserved",,,,,,,,"2017-12-13","2017-12-13",446596,345811
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00690/AVA",,"The Larks Nest Larkfield Road Nuthall","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00690%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00690%2FAVA","ETRS89","-1.244778","52.997028","0.07","not owned by a public authority","yes","permissioned","full planning permission","2016-01-06",,,6,"Change use of public house (Class A4) to dwelling house (Class C3) to include six flats and erect two storey rear/side extension (revised scheme)",,,,,,,,"2017-12-13","2017-12-13",450786,344677
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00586/AVA",,"Hardy And Hansons Plc Kimberley Brewery Hardy Street Kimberley","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00586%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00586%2FAVA","ETRS89","-1.261152","52.999728","4.44","not owned by a public authority","yes","permissioned","other","2015-12-21",,,128,"Hybrid application comprising: Outline application for the construction of 78 dwellings, including details of access and scale, all other matters reserved.  Full application for change of use of Maltings No. 1 to 18 apartments and the tower to 2 apartments and the  construction of a 3-storey building to comprise 24 new apartments",,,,,,,"See planning history for more details as numerous subsequent permission for different aspects of the site.","2017-12-13","2017-12-13",449684,344966
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00761/AVA",,"Car Park On Corner Of The Poplars Wollaton Road Beeston","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00761%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00761%2FAVA","ETRS89","-1.217945","52.929272","0.03","not owned by a public authority","yes","permissioned","full planning permission","2015-08-28",,,10,"Construct 10 apartments",,,,,,,,"2017-12-13","2017-12-13",452669,337159
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00634/AVA",,"22 High Road Chilwell","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00634%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00634%2FAVA","ETRS89","-1.221745","52.922294","0.09","not owned by a public authority","yes","permissioned","outline planning permission","2015-01-14",,,9,"Outline application to demolish existing buildings and construct 9 N° one and two bed apartments, in one, two and three storey blocks with 7 N° parking spaces and communal gardens with all matters reserved except layout",,,,,,,,"2017-12-13","2017-12-13",452422,336380
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00051/AVA",,"Units 12-15 Pinfold Trading Estate Nottingham Road Stapleford","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00051%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00051%2FAVA","ETRS89","-1.271267","52.931687","1.09","not owned by a public authority","yes","permissioned","outline planning permission","2016-02-26",,,10,"Hybrid planning application comprising: Outline Application to construct dwellings (Class C3) on 0.29 ha, with all matters reserved apart from the access.","Full application to construct shop (Class A1) including solar panels and with associated car parking, access and landscaping on a 0.78 ha site.",,,,,,"Hybrid planning application comprising: Full Application to construct shop (Class A1) including solar panels and with associated car parking, access and landscaping on a 0.78 ha site:","2017-12-13","2017-12-13",449082,337390
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00012/AVA",,"Moults Yard, 68-70 Nottingham Road, Stapleford","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00012%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00012%2FAVA","ETRS89","-1.269082","52.93153","0.32","not owned by a public authority","yes","permissioned","full planning permission","2015-03-03",,,15,"Construct 15 N° dwellings",,,,,,,,"2017-12-13","2017-12-13",449229,337374
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00408/AVA",,"Myford Machine Tools Wilmot Lane Beeston","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00408%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00408%2FAVA","ETRS89","-1.219687","52.921759","1.79","not owned by a public authority","yes","pending decision",,"",,,47,"Construct 47 dwellings, retail unit (Class A1), car parking and highway infrastructure",,,,,,,"13/00003/OUT - Redevelopment and change use of existing industrial site for residential/commercial uses (to include Classes A1; A2; A3; A4; A5; B1(a); C2; C3; and D1 uses) - now lapsed","2017-12-13","2017-12-13",452561,336322
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00499/AVA",,"Beeston Business Park Technology Drive Beeston","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00499%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00499%2FAVA","ETRS89","-1.209474","52.917394","19.55","not owned by a public authority","yes","permissioned","outline planning permission","2017-11-03",,,310,"Hybrid planning application comprising: Outline application for up to 310 residential units and community building with means of access included (all other matters reserved).","Full application for industrial, storage and distribution buildings (Use Classes B1 b and c, B2 and B8), land for school expansion (Class D1), car parking and associated road infrastructure.",,,,,,,"2017-12-13","2017-12-13",453253,335844
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00195/AVA",,"Former Bartons Bus Depot Queens Road West Chilwell","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00195%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00195%2FAVA","ETRS89","-1.222041","52.919895","2.23","not owned by a public authority","yes","permissioned","other","2017-11-17",,,250,"Hybrid planning application comprising: Full application to construct 29 dwellings, including access, associated road infrastructure, car parking and landscaping.  Outline application (including access) with some matters reserved to construct up to 221 dwellings and units with flexible uses (Classes D1, D2, A1, A2, A3, A4 and A5), following demolition of buildings",,,,,,,"Full permission for 29 dwellings, outline permission for up to 221 further dwellings","2017-12-13","2017-12-13",452405,336113
