OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/oxford,Oxford City Council,6,,"Banbury Road, Oxford, (Banbury Road University Sites)",https://www.oxford.gov.uk/downloads/file/4173/site_006_-_banbury_road_university_sites,ETRS89,-1.258714,51.762845,3.12,not owned by a public authority,yes,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,42,This site is allocated for mixed use development (including student accommodation and university staff housing) in the Sites and Housing Plan adopted in February 2013 post NPPF.,The site is also allocated for academic institutional uses.,,,,,,Many of the existing buildings on the site contribute to the character of the North Oxford Victorian Suburb Conservation Area or are listed. Therefore any major redevelopment is unlikely to be suitable but there is some potential to intensify existing uses.,25/10/2017,25/10/2017
http://opendatacommunities.org/id/district-council/oxford,Oxford City Council,9,,"Blackbird Leys District Centre, Blackbird Leys Road, Oxford, (Blackbird Leys Central Area)",https://www.oxford.gov.uk/downloads/file/4174/site_009_-_blackbird_leys_central_area,ETRS89,-1.199227,51.720095,5.34,mixed ownership,yes,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,200,The site is allocated for mixed use development (including housing) in the Sites and Housing Plan adopted in February 2013 post NPPF.,"This site is also allocated for retail, start-up employment units and community facilities.",,200,300,,,Blackbird Leys is one of five priority regeneration areas identified in the Oxford Core Strategy 2026.,25/10/2017,25/10/2017
http://opendatacommunities.org/id/district-council/oxford,Oxford City Council,10,,"Former office and stores for telephone engineering depot, Hollow Way, Oxford, OX3 7JS, (BT Site)",https://www.oxford.gov.uk/downloads/file/4178/site_010_-_bt_site,ETRS89,-1.202187,51.742167,1.59,not owned by a public authority,yes,pending decision,,,http://public.oxford.gov.uk/online-applications/,,50,The site is allocated for housing or student accommodation development in the Sites and Housing Plan adopted in February 2013 post NPPF.,No non-residential development included within the allocation.,,50,95,,,"At the time of publishing this Brownfield Register, a planning application for 885 student accommodation units on this site was pending determination.",25/10/2017,25/10/2017
http://opendatacommunities.org/id/district-council/oxford,Oxford City Council,11,,"Land at canalside, Oxford, OX2 6BX, (Jericho Canalside)",https://www.oxford.gov.uk/downloads/file/4176/site_011_-_jericho_canalside,ETRS89,-1.270245,51.757599,0.48,not owned by a public authority,yes,permissioned,full planning permission,19/04/2016,http://public.oxford.gov.uk/online-applications/,,23,Planning permission granted for a mixed use development to include 23 dwellings.,"Planning permission granted for a mixed use development including a community centre, restaurant, boatyard, public square, winding hole and public bridge across the Oxford Canal.",,,,,,The site is in a sensitive location within the Jericho Conservation Area and adjacent to the Grade I listed St. Barnabas Church.,25/10/2017,25/10/2017
http://opendatacommunities.org/id/district-council/oxford,Oxford City Council,12,,"Churchill Hospital and Ambulance Resource Centre, Oxford",https://www.oxford.gov.uk/downloads/file/4184/site_012_-_churchill_hospital_site,ETRS89,-1.21221,51.749162,22.74,owned by a public authority,yes,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,125,The site is allocated in the Sites and Housing Plan adopted in February 2013 post NPPF. Key worker housing linked to the hospital is identified as a suitable use. General housing and student accommodation are identified as acceptable complementary uses.,"The site is allocated for further hospital related uses as well as a range of other uses linked, or complementary to, the hospital.",,125,148,,,"Hospital operations would need to be maintained.
",26/10/2017,26/10/2017
http://opendatacommunities.org/id/district-council/oxford,Oxford City Council,13,,"Land at Court Place Gardens, Oxford, OX4 4EW, (Court Place Gardens)",https://www.oxford.gov.uk/downloads/file/4224/site_013_-_land_at_court_place_gardens,ETRS89,-1.238364,51.726604,1.3,not owned by a public authority,yes,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,26,The site is allocated for housing development in the Sites and Housing Plan adopted in February 2013 post NPPF.,No non-residential development included within the allocation.,,26,55,,,"The site includes a listed building. 
This site is partially greenfield and partially brownfield (as shown on the site location plan). The land area in hectares given on this Register relates to the brownfield part of the site only. 
The capacity of this site has been calculated based on development being focused on the existing built footprint.",25/10/2017,25/10/2017
http://opendatacommunities.org/id/district-council/oxford,Oxford City Council,14,,"Templars Square, Between Towns Road, Oxford",https://www.oxford.gov.uk/downloads/file/4179/site_014_-_templars_square,ETRS89,-1.216124,51.732048,3.65,mixed ownership,yes,pending decision,,,http://public.oxford.gov.uk/online-applications/,,225,Resolution to grant planning permission subject to a s106 for a mixed use development to include 225 dwellings.,"Other uses proposed include retail (Class A1, A3, A4) and hotel.",,,,,,Primary District Centre in Oxford's retail hierarchy as set out in the Core Strategy.,26/10/2017,26/10/2017
http://opendatacommunities.org/id/district-council/oxford,Oxford City Council,16,,"Cowley Marsh Depot, Marsh Road, Oxford, OX4 2HH",https://www.oxford.gov.uk/downloads/file/4181/site_016_-_cowley_marsh_depot,ETRS89,-1.217163,51.738964,1.71,owned by a public authority,,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,54,The site is allocated for housing or student accommodation development in the Sites and Housing Plan adopted in February 2013 post NPPF.,No non-residential development included within the allocation.,,54,103,,,,26/10/2017,26/10/2017
http://opendatacommunities.org/id/district-council/oxford,Oxford City Council,17,,"Crescent Hall, Crescent Road, Oxford, OX4 2NS",https://www.oxford.gov.uk/downloads/file/4180/site_017_-_crescent_hall,ETRS89,-1.209181,51.737386,0.96,not owned by a public authority,,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,30,The site is allocated for housing or student accommodation development in the Sites and Housing Plan adopted in February 2013 post NPPF.,No non-residential development included within the allocation.,,30,58,,,,26/10/2017,26/10/2017
http://opendatacommunities.org/id/district-council/oxford,Oxford City Council,18,,"Ewert House, Ewert Place, Oxford, OX2 7DD, (Diamond Place and Ewert House)",https://www.oxford.gov.uk/downloads/file/4188/site_018_-_diamond_place,ETRS89,-1.262524,51.776795,1.73,mixed ownership,,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,100,The site is allocated for a retail-led mixed use development (which could include housing or student accommodation) in the Sites and Housing Plan adopted in February 2013 post NPPF.,The site is allocated for a retail-led mixed use development. Employment and other town centre uses may also be appropriate.,,,,,,The City Council has adopted the Diamond Place SPD to guide development on this site.,26/10/2017,26/10/2017
