OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningReference,ConstructionStatus
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/001,,"""Former Network Rail Depot, Kings Road, Spalding""",https://www.sholland.gov.uk/media/7520/Former-Network-Rail-Depot-Kings-Road-Spalding/pdf/Former_Network_Rail_Depot__Kings_Road__Spalding.pdf,OSGB36,524586,323144,1.29,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,04/01/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0486-16&from=planningSearch,,42,Residential development - erection of 42 dwellings,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0486-16&from=planningSearch,,22/11/2017,22/11/2017,H16-0486-16,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/002,,"""15-21 and land to rear Winsover Road, Spalding""",https://www.sholland.gov.uk/media/7531/15-21-and-land-to-the-rear-Winsover-Road-Spalding/pdf/15-21_and_land_to_the_rear_Winsover_Road__Spalding.pdf,OSGB36,524439,322607,0.18,Not owned by a public authority,Yes,Permissioned,Full planning permission,27/05/2014,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1004-09&from=planningSearch,,27,Demolition of 15-21 Winsover Road and buildings to rear and erect 27 dwellings and replacement shops,Scheme includes a replacement retail unit (approx 141m2 of floorspace),,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1004-09&from=planningSearch,16 dwellings under construction,22/11/2017,22/11/2017,H16-1004-09,Under construction
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/003,,"""30 Westlode Street, Spalding""",https://www.sholland.gov.uk/media/7530/30-Westlode-Street-Spalding/pdf/30_Westlode_Street__Spalding.pdf,OSGB36,524976,322922,0.06,Not owned by a public authority,Yes,Permissioned,Full planning permission,14/09/2015,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0532-15&from=planningSearch,,7,Demolition of storage building and replace with 6 residential flats and conversion of first floor flat into two self contained flats with associated works,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0532-15&from=planningSearch,"""6 dwellings completed, 1 not started""",22/11/2017,22/11/2017,H16-0532-15,Under construction
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/004,,"""5b and 5c Sheep Market, Spalding""",https://www.sholland.gov.uk/media/7532/5b-and-5c-Sheep-Market-Spalding/pdf/5b_and_5c_Sheep_Market__Spalding.pdf,OSGB36,524647,322652,0.1,Not owned by a public authority,Yes,Permissioned,Full planning permission,04/04/2016,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0150-16&from=planningSearch,,6,Conversion of existing first floor into 6 no. self-contained residential flats,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0150-16&from=planningSearch,,22/11/2017,22/11/2017,H16-0150-16,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/005,,"""Land immediately adjact to Spalding Library, Victoria Street, Spalding""",https://www.sholland.gov.uk/media/7517/Land-immediately-adjacent-to-Spalding-Library-Victoria-Street-Spalding/pdf/Land_immediately_adjacent_to_Spalding_Library__Victoria_Street__Spalding.pdf,OSGB36,524536,322653,0.14,Not owned by a public authority,Yes,Permissioned,Full planning permission,11/04/2016,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0146-16&from=planningSearch,,6,Demoliton of dilapidated building and erection of 6 No. 1 bed apartments,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0146-16&from=planningSearch,"""A new planning application (H16-0601-17) is currently under consideration for the erection of 7 apartments, including part demolition of existing brick building. This application is due to be determined by 21/12/17.""",22/11/2017,22/11/2017,H16-0146-16,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/006,,"""The Robin Hood Inn, 1 Bourne Road, Spalding""",https://www.sholland.gov.uk/media/7496/The-Robin-Hood-Inn-1-Bourne-Road-Spalding/pdf/The_Robin_Hood_Inn__1_Bourne_Road__Spalding.pdf,OSGB36,523661,322311,0.03,Not owned by a public authority,Yes,Permissioned,Full planning permission,19/05/2016,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0172-16&from=planningSearch,,6,Conversion of Public House into 6 self-contained flats,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0172-16&from=planningSearch,,22/11/2017,22/11/2017,H16-0172-16,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/007,,"""Banbury Close, Spalding""",https://www.sholland.gov.uk/media/7527/Banbury-Close-Spalding/pdf/Banbury_Close__Spalding.pdf,OSGB36,524963,323602,0.35,Not owned by a public authority,Yes,Permissioned,Full planning permission,12/01/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1163-15&from=planningSearch,,10,Residential development of 10 dwellings with associated parking and garages on former builders yard,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1163-15&from=planningSearch,,22/11/2017,22/11/2017,H16-1163-15,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/008,,"""EMG Hyundai, 2 St Johns Road, Spalding""",https://www.sholland.gov.uk/media/7524/EMG-Hyundai-2-St-Johns-Road-Spalding/pdf/EMG_Hyundai__2_St_Johns_Road__Spalding.pdf,OSGB36,524077,322378,1.06,Not owned by a public authority,Yes,Permissioned,Full planning permission,20/03/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1083-16&from=planningSearch,,48,"""Demolition of existing properties and erection of 48 residential dwellings with associated access, hard landscaping, soft landscaping and parking""",,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1083-16&from=planningSearch,22 dwellings under construction,22/11/2017,22/11/2017,H16-1083-16,Under construction
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/009,,"""Land off Willow Walk (Former Laws Yard), Spalding""",https://www.sholland.gov.uk/media/7514/Land-off-Willow-Walk-Former-Laws-Yard-Spalding/pdf/Land_off_Willow_Walk__Former_Laws_Yard__Spalding.pdf,OSGB36,525282,323038,0.52,Not owned by a public authority,Yes,Pending decision,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0283-17&from=planningSearch,,16,,,,16,21,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0283-17&from=planningSearch,"""Resolution to grant full planning permission for the development of 22 dwellings, subject to the applicant entering into a s106 agreement. SHLAA ref no: Stp005""",22/11/2017,22/11/2017,H16-0283-17,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/010,,"""Land to the east of Spalding Road, Pinchbeck""",https://www.sholland.gov.uk/media/7512/Land-to-the-east-of-Spalding-Road-Pinchbeck/pdf/Land_to_the_east_of_Spalding_Road__Pinchbeck.pdf,OSGB36,524583,324674,0.37,Not owned by a public authority,,Not permissioned,,,,,11,,,,11,15,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Spalding-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) indicates that there is a need to improve the water and foul sewerage network but that this should not impact upon the site's deliverability. SHLAA ref no: Pin025. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017)."" ",22/11/2017,22/11/2017,,
