OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,EASTING,NORTHING,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Source,Status,Ward
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/7101/FUL,,"""Sir Thomas Lipton Memorial Hospital Osidge, 151 Chase Side, Southgate, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.137364,51.634967,529026.00,194545.00,2.01,not owned by a public authority,Yes,permissioned,full planning permission,2017-06-23,,,30,Demolition of 3 no. existing buildings and conversion of Osidge House to Class C3 residential use providing 16 no. self-contained flats. Erection of 3-storey apartment building to provide 8 no. self-contained flats. Erection of 3 no. 3-storey townhouses,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Brunswick Park
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/04442/FUL,,"""Imperial House, The Hyde, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.260106,51.595462,520621.00,189957.00,0.41,mixed owner,Yes,permissioned,full planning permission,2017-03-17,,,81,Redevelopment of Imperial House comprising the demolition of existing buildings and erection of buildings ranging from 3 to 16 storeys to provide 81 residential units (Use Class C3) and 815sqm of replacement office accommodation (Use Class B1) along with,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Burnt Oak
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/04474/14,,"""Granville Road Estate, Granville Road, Childs Hill London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.201054,51.565085,524786.00,186629.00,3.73,unknown owner,Yes,permissioned,full planning permission,2016-08-08,,,132,"Demolition of Beech Court, garages and other ancillary buildings and the erection of new buildings (including an extension to Nant Court) between two and six storeys in height (with additional basement levels in places) to provide 132 new dwellings in to",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Childs Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/0601/FUL,,"""112-132 Cricklewood Lane, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.209223,51.559723,524237.00,186057.00,0.64,not owned by a public authority,Yes,permissioned,full planning permission,2016-08-30,,,122,"The erection of a part 3, part 6, part 8 storey building comprising 122 no. residential units and 279 sqm (GIA) of commercial floorspace, including the provision of private and communal amenity space, landscaping, car parking, cycle parking, refuse stora",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Childs Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/05969/FUL,,"""Church Walk House, Church Walk, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.198711,51.561228,524959.00,186257.00,0.42,mixed owner,Yes,permissioned,full planning permission,2016-12-19,,,35,Demolition of existing building and construction of part two part three storey building with additional roof level and basement level to provide 35 no. self-contained units with associated parking and landscaping,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Childs Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/5993/FUL,,"""114 - 120 West Heath Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.192815,51.566224,525368.00,186799.00,0.68,owned by a public authority,Yes,permissioned,full planning permission,2017-03-21,,,46,"Demolition of existing buildings and comprehensive redevelopment of the site for a building arranged over basement, partial lower ground floor level and four to five floors above to provide up to 46no. Assisted/Independent Living units (class C2 resident",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Childs Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/2690/PNO,,"""220 The Vale, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.213045,51.563097,523959.00,186425.00,0.05,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2017-06-22,,,14,Change of use from Use Class B1 (office) to  Use Class C3 (residential) to provide (14 Units),,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Childs Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/00146/12,,"""Blocks C5 To C12, Beaufort Park (Land At Former Raf East Camp Site), Aerodrome Road/ Grahame Park Way, Hendon, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.240771,51.595102,521975.00,189886.00,1.52,not owned by a public authority,Yes,permissioned,reserved matters approval,2012-12-21,,,560,"Reserved matters application seeking approval for appearance, landscaping, layout and design in relation to buildings C5 to C12 comprising 560 homes and 900 sqm of non-residential floorspace, pursuant to condition 6 of outline permission W/00198/AA/04 fo",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,14/07064/FUL,,"""Buildings D3 To D8, Beaufort Park, Aerodrome Road, Colindale""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.239356,51.594429,522064.00,189874.00,0.82,not owned by a public authority,Yes,permissioned,full planning permission,2015-04-21,,,237,"Construction of a building of 6 cores of up to 10 storeys to comprise 237 residential homes and 357 sq.m GIA of commercial floorspace (A1 to A4, B1, B2, D1 and D2), including associated car and cycle parking and landscaping (This application is accompani",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3652/NMA,,"""C7-C8A Beaufort Park, Land At Former RAF East Camp, Aerodrome Road/ Grahame Parkway, Hendon, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.240534,51.59469,521978.00,189890.00,0.46,not owned by a public authority,Yes,permissioned,full planning permission,2016-06-09,,,177,Non-material amendment to planning permission H/04184/14 dated 13/11/14.  Amendments include internal reconfiguration of blocks C7 - C8a,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Colindale
