OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDeveloment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/06963/FULL,,"33 Horseferry Road
London
SW1P 2AA
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/06963/FULL,OSGB36,529897.8217,178960.4179,0.345680907,unknown ownership,,permissioned,full planning permission,03/03/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N8V39VRP0C400,,160,"Demolition of Great Minster North and redevelopment to provide up to 160 residential units in three buildings; two at first to eighth floor level and one at first to seventh floor level with private balconies and terraces.  Retail at ground floor level to include four retail units (Class A1) and two flexible retail/restaurant units (Class A1/A3).  Associated parking at basement level and landscaped communal area above retained service road.  Installation of mechanical plant at basement, ground and eighth floor levels and solar panels at roof level.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N8V39VRP0C400,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/06375/FULL,,"Mermaid House
43A Acacia Road
London
NW8 6AP
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/06375/FULL,OSGB36,526949.4609,183574.8941,0.372701375,unknown ownership,,permissioned,full planning permission,02/12/2014,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N858TCRPHNP00,,0,"Demolition of existing single storey freestanding staff annexe and condenser enclosure. Replacement with a two storey guest annexe, removal of two trees and replacement planting.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N858TCRPHNP00,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/11129/FULL,,"First Chicago House
90 Long Acre
London
WC2E 9RA
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/11129/FULL,OSGB36,530312.9659,181148.4995,0.551979916,unknown ownership,,permissioned,full planning permission,29/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NETXYFRP01R00,,119,"Demolition of existing office building (forming whole street block with frontages to Long Acre, Endell Street, Shelton Street and Arne Street) and redevelopment to provide two new buildings comprising two basements, ground and part seven to part 12 upper floors  to provide a mix of uses comprising office (Class B1), 119 residential units (Class C3), retail (Class A1/A3), rehearsal space (sui generis), car parking for 30 cars accessed from Shelton Street together with new kiosk, publically accessible courtyard, landscaping works, public realm improvements, plant, cycle parking and other ancillary works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NETXYFRP01R00,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/07008/FULL,,"11 Belgrave Road
London
SW1V 1TS
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/07008/FULL,OSGB36,529071.4722,178703.8781,0.273115139,unknown ownership,,permissioned,full planning permission,20/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSDEIQRPKMA00,,73,"Use of building for residential purposes (Class C3) to provide 73 residential units (45 private units and 28 affordable units). Re-cladding of all existing facades, installation of balconies and terraces including creation of two terraces to rear at first floor level and associated landscaping works at rear of building. Provision of 44 off-street car parking spaces and 131 cycle parking spaces within an enclosed private car park with access from Guildhouse Street. Reduction of plant room at roof level, installation of plant at lower ground floor level and installation of solar panels on roof at seventh floor level.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSDEIQRPKMA00,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/11007/FULL,,"Dev Site At 221-235 Lanark Rd, Land To North Of 235 Lanark Rd And Land At Scottish Towers
Maida Vale
London
W9
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/11007/FULL,OSGB36,525808.7072,183024.4693,0.185900915,unknown ownership,,permissioned,full planning permission,29/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NYE02YRPK9800,,67,"Redevelopment of site spanning 221-235 Lanark Road and land to the north of 235 Lanark Road, involving demolition of existing buildings and erection part 3, part 4, part 5 storey building, plus lower ground floor, containing a community/sports building (Use Class D1/D2) and associated plant at the north end of the site, and 67 residential units (Class C3) (private and affordable) across the remainder of the site and across the top floor of the proposed community/sports building, together with car parking, landscaping and associated works. Reconfiguration of front curtilage of the Scottish Towers (Glasgow House, Falkirk House, Edinburgh House) to provide additional parking, re landscaping and associated works. Removal of existing trees and replacement tree planting.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NYE02YRPK9800,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/10072/FULL,,"Whiteleys Centre
Queensway
London
W2 4YH
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/10072/FULL,OSGB36,525781.4266,181067.9606,1.564431899,unknown ownership,,permissioned,full planning permission,27/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NWZO4FRP27P00,,103,"Demolition of and redevelopment of building behind retained and refurbished facades to Queensway and Porchester Gardens facades to provide a mixed use development comprising three basement levels, ground floor and up to 10 upper floor levels, containing up to 103 residential units (Class C3), retail floorspace (Class A1 and A3) facing Queensway and arranged around a new retail arcade below re-provided central atrium and central retail courtyard, public car park, hotel (Class C1), cinema (Class D2) gym (Class D2), crèche (Class D1), with associated landscaping and public realm improvements, provision of 103 basement residential parking spaces, cycle parking and associated basement level plant and servicing provision.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NWZO4FRP27P00,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/10496/FULL,,"Broadway Complex
55 Broadway
London
SW1H 0AZ
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/10496/FULL,OSGB36,529664.7485,179475.6757,0.615264227,unknown ownership,,permissioned,full planning permission,27/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NDUKN3RP03500,,112,Change of use of 55 Broadway on part first to thirteenth floors from offices to private residential (77 units) including extensions at tenth floor level; use of part first floor as B1 offices and reconfiguration of ground floor retail.  Part demolition and redevelopment of 100 Petty France and Wing Over Station to provide affordable residential accommodation (35 units) and associated car parking (43 spaces).,,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NDUKN3RP03500,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/01827/FULL,,"70-73 Piccadilly
London
W1J 8HP
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/01827/FULL,OSGB36,529064.5876,180369.3477,0.016026068,unknown ownership,,permissioned,full planning permission,27/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NKLFOORP00400,,42,"Demolition of the existing buildings and redevelopment to construct a building of ground plus six-10 storeys with three basement levels; use of the property as residential accommodation (Class C3) comprising 52 residential dwellings, hotel accommodation with ancillary functions (Class C1) and either retail/financial and professional services/ restaurants or drinking establishments (Classes A1-A4) at part basement, ground and first floor levels; installation of plant; creation of terraces at seventh and eighth floor levels; installation of PV cells at main roof level; open space as part of an amended pedestrian access route between Dover Street and Berkeley Street, 60 car parking spaces, 151 cycle parking spaces and other ancillary works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NKLFOORP00400,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/07092/FULL,,"1-23 Shaftesbury Avenue
London
W1D 7EA
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/07092/FULL,OSGB36,529558.5477,180714.5956,0.081017992,unknown ownership,,permissioned,full planning permission,25/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSIYI8RPKP700,,-18,"Demolition of existing buildings and demolition behind retained facades of 19 and 20 Denman Street facades; realignment of 4-6 Glasshouse Street, 1 Sherwood Street, 8 Glasshouse Street and 11-17 Shaftesbury Avenue facades and retention of Piccadilly Lights (adverts). Construction of a replacement six storey building (plus 6th floor mezzanine office) with three basement levels to create a mixed use scheme comprising office (Class B1) at part ground to 6th storey mezzanine; retail (Classes A1 retail and A3 restaurant) at part basement 1, part ground and part first floor; up to seven residential units (Class C3) at part first floor, part second floor and part third floor; and plant and cycle storage within the basement.  Associated works including mechanical plant within roof enclosure and loading facilities.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSIYI8RPKP700,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/07756/FULL,,"Development Site At Millbank Complex
25 Millbank
London
SW1P 4QP
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/07756/FULL,OSGB36,530186.099,178729.0681,1.250772669,unknown ownership,,permissioned,full planning permission,28/06/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NTDXMCRP0C400,,207,"Refurbishment and replacement of facades and erection of 2 additional floors and plant enclosure to both Millbank Tower and 1 additional floor to the Y buildings; excavation of basement levels; demolition of rear car park in association with re-landscaping and reconfiguration of wider site; all in association with the use of the Tower as 207 private residential flats (Class C3) and Skybar (ancillary to adjacent Class C1), the south podium and part of tower as an arts/ cultural facility (Class D1) and the north podium and Y buildings as a 150 bedroom hotel (Class C1) with restaurant, bar and cafe at ground floor level. Use of roof of podium building as a terrace with associated alterations.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NTDXMCRP0C400,GLA,30/11/2017,30/11/2017
