ORGANISATIONURI,ORGANISATIONLABEL,SITEREFERENCE,PREVIOUSLYPARTOF,SITENAMEADDRESS,SITEPLANURL,COORDINATEREFERENCESYSTEM,GEOX,GEOY,HECTARES,OWNERSHIPSTATUS,DELIVERABLE,PLANNINGSTATUS,PERMISSIONTYPE,PLANNINGSTATUSEXTRA1,PLANNINGSTATUSEXTRA2,PLANNINGAPPLICATIONREF,PERMISSIONDATE,PLANNINGHISTORY,PROPOSEDFORPIP,MINNETDWELLINGS,DEVELOPMENTDESCRIPTION,NONHOUSINGDEVELOPMENT,PART2,NETDWELLINGSRANGEFROM,NETDWELLINGSRANGETO,HAZARDOUSSUBSTANCES,SITEINFORMATION,NOTES,FIRSTADDEDDATE,LASTUPDATEDDATE
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/150,,Bobbers Mill Bridge - Land Adjacent to Bobbers Mill Industrial Estate,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1828398,52.96824782,0.55206,not owned by a public authority,,not permissioned,,Local Plan Allocation,,,,,,17,,,,17,21,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/399,,Carlton Road- Former Co-op,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.13068227,52.95722545,0.60469,not owned by a public authority,,not permissioned,,Local Plan Allocation,,15/016/NOAPPN,,,,0,,Mixed use,,0,35,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1630,,Carlton Road - Castle College,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.12379272,52.95895492,1.28184,not owned by a public authority,,not permissioned,,Local Plan Allocation,,,,,,0,,Mixed use,,0,38,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/528,,Carrington Street,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.147533,52.94856973,0.06781,owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,,,,,24,,,,24,24,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/380,,Haydn Road/Hucknall Road - Severn Trent Water Depot,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15827576,52.9801417,1.52987,not owned by a public authority,,not permissioned,,Local Plan Allocation,,,,,,60,,mixed use,,60,80,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-99,,Vernon Road - Former Johnsons Dyeworks,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17613952,52.98272717,4.40954,mixed ownership,,not permissioned,,Local Plan Allocation,,,,,,60,,Mixed use,,60,115,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/148,,"Bobbers Mill Bridge - Bobbers Mill Industrial Estate, ",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.18121574,52.96725231,4.38135,not owned by a public authority,,not permissioned,,Local Plan Allocation,,,,,,80,,Mixed use,,80,120,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1759,,Farnborough Road - Former Fairham Comprehensive School,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17460215,52.89445502,7.7016,owned by a public authority,yes,not permissioned,,Local Plan Allocation,,,,,,183,,,,183,210,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-63,,"Royal Quarter - Burton Street, Guildhall, Police Station and Fire Station",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15050017,52.9568803,0.88925,owned by a public authority,yes,not permissioned,,Local Plan Allocation,,,,,,300,,Mixed use,,300,400,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/384,,Wilkinson Street - Former PZ Cussons,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17845351,52.97073577,6.60433,not owned by a public authority,,not permissioned,,Local Plan Allocation,,10/00021/POUT,20101130,http://publicaccess.,,65,,,,65,90,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/405,,"Woodyard Lane - Siemens, Lambourne Drive",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.2119336,52.95972773,3.73943,not owned by a public authority,,not permissioned,,Local Plan Allocation,,,,,,80,,,,80,100,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/342,,"West Trent Works, Wilford Crescent",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14273401,52.93687533,0.31015,not owned by a public authority,,pending decision,,Perm. awaiting Sect. 106,Perm. awaiting Sect. 106,16/01986/PFUL3,,http://publicaccess.,,24,S.106 pending,,,24,24,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/457,,50 Lower Parliament Street,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14415952,52.95506813,0.08095,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,06/01422/PFUL3,20061018,http://publicaccess.,,15,,,,15,15,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/680,,"Factory/warehouse, Swinburne Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.12731472,52.95876213,0.078,not owned by a public authority,,not permissioned,,less than 10 dwellings without planning permission,,08/01524/PFUL3,20080709,http://publicaccess.,,7,,,,7,7,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/682,,170-184 Carlton Road,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.12935521,52.95690241,0.20113,not owned by a public authority,,not permissioned,,less than 10 dwellings without planning permission,,11/03391/PFUL3,20111125,http://publicaccess.,,8,,,,8,8,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1512,,"National Dry Cleaners, Winchester Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.13777596,52.98142233,0.2475,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,10/00403/POUT,20141205,http://publicaccess.,,15,,,,15,15,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1680,,"Burrows Court / Site of Red Cow Public House, Windmill Lane",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.12629862,52.9566524,1.48585,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,10/00420/PFUL3,20101115,http://publicaccess.,,24,,,,24,24,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1731,,8 Stoney Street,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14367088,52.95318449,0.03092,not owned by a public authority,,not permissioned,,less than 10 dwellings without planning permission,,11/00187/PFUL3,20110414,http://publicaccess.,,8,,,,8,8,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1865,,1 to 2 St Peters Church Walk,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14787089,52.95243168,0.04238,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,11/02598/PFUL3,20120403,http://publicaccess.,,11,,,,11,11,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/279,,"Riverside Way, Robin Hood Way",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15495366,52.93867838,0.30571,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,,,,,40,,,,40,40,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/536,,Pemberton Street,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14127034,52.95025393,0.13437,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,,,,,16,,,,16,16,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/543,,Between Cowan Street and Beck Street,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14236142,52.95632341,0.09545,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,,,,,55,,,,55,55,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/540,,"Creative Quarter - Bus Depot, Lower Parliament Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.13731566,52.95240994,2.53885,mixed ownership,,not permissioned,,Local Plan Allocation,,,,,,100,,mixed use,,100,170,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/155,,"Silverdale Works Silverdale Road Nottingham NG7 7EZ, NG7 7EZ",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17385898,52.9791322,0.04619,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,,16/02204/PVAR3,20170309,http://publicaccess.,,6,Recent pp.,,,6,6,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/382,,"Derby Road - Former Hillside Club, Leengate",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.18309476,52.94621975,1.06187,not owned by a public authority,,not permissioned,,Local Plan Allocation,,11/04238/POUT,20130117,http://publicaccess.,,30,,,,30,40,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/140,,Ilkeston Road - Radford Mill,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17145321,52.95637834,0.61608,not owned by a public authority,yes,not permissioned,,Local Plan Allocation,,16/01897/PFUL3,20170109,http://publicaccess.,,314,Demolition of warehouse building and construction of 6 dwellinghouses,,,314,314,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1639,,Waterside - Meadow Lane,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.13366553,52.94287269,2.66637,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,13/02877/PFUL3,20151029,http://publicaccess.,,280,"Demolition of existing structures and the redevelopment of the site to form 95 dwellings, 385sq.m of retail and cafe floorspace (Class A1/Class A3), new vehicular access and parking, new waterfront pedestrian and cycle path, and public open space.",,,280,320,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/379,,"Lortas Road, Perry Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16795955,52.98116183,1.38932,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,14/01958/PFUL3,20160317,http://publicaccess.,,35,34 dwellings and associated infrastructure (revised scheme).,. + open space,,35,35,,,,20171215,
