OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EffectiveDate,UPRN,StrategicHousingLandAvailabilityAssessmentReference,LandAllocationsReference,PlanningReference,AreaOfOutstandingNaturalBeautyDevelopmentPlanDocumentReference,ExpiryOfPlanningPermission,CoordinateReferenceSystem,Easting,Northing,GeoPointLicensingURL
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR1,,"Former Cedar House School, Kirkby Lonsdale",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR1&easting=360756&northing=478730&zoom=10,ETRS89,-2.604570,54.203430,0.87,not owned by a public authority,yes,permissioned,other,2017-04-13,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2016/0317&ApplicationNumber=&AddressPrefix=cedar+house+school&Postcode=&Submit=Search,,20,Hybrid application for full planning permission for conversion of former school dining hall to six dwellings and part of the former main school building to two dwellings and outline planning permission for demolition of remaining former school buildings and erection of up to 12 residential dwellings with vehicular access.,,,,,,,"Hybrid application, part full, part outline (pending RM app SL/2017/0421)",2017-12-01,2017-12-01,2017-12-14,,,LA1.3,SL/2016/0317 ,,2020-04-13,OSGB36,360661,478799,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR2,,"Busher House, Busher Walk, Kendal",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR2&easting=351407&northing=493287&zoom=10,ETRS89,-2.748780,54.332820,0.17,owned by a public authority,yes,permissioned,other,2017-01-19,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=CU/2016/0014&ApplicationNumber=CU%2F2016%2F0014&AddressPrefix=&Postcode=&Submit=Search,,16,Change of use from Use Class B1 (a) Offices to C3 (Residential) - 16 units.,,,,,,,,2017-12-01,2017-12-01,2017-12-14,,,,CU/2016/0014,,2020-01-19,OSGB36,351407,493287,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR3,,"Sawyers Arms Hotel, Stricklandgate, Kendal",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR3&easting=351483&northing=493087&zoom=10,ETRS89,-2.747570,54.331030,0.03,not owned by a public authority,,permissioned,full planning permission,2015-07-16,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2015/0491&ApplicationNumber=SL%2F2015%2F0491&AddressPrefix=&Postcode=&Submit=Search,,8,"Conversion, demolition of rear extensions and extension of vacant public house to form 8 self-contained apartments.",,,,,,,,2017-12-01,2017-12-01,2017-12-14,,,,SL/2015/0491,,2018-07-16,OSGB36,351483,493087,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR4,,"Royal Hotel, Burton-in-Kendal",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR4&easting=353047&northing=476466&zoom=10,ETRS89,-2.720920,54.181810,0.26,not owned by a public authority,yes,permissioned,full planning permission,2014-11-27,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2010/0695&ApplicationNumber=SL%2F2010%2F0695&AddressPrefix=&Postcode=&Submit=Search|http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2017/0992&ApplicationNumber=&AddressPrefix=royal+hotel&Postcode=&Submit=Search,,6,"Demolition of outbuildings, conversion and alteration of redundant hotel to form 5 dwellings and construction of 10 dwellings with access road and car parking. (Permitted) Demolition of outbuildings, refurbishment and extension of public house and erection of six dwellings (Pending).",,,6,15,,,,2017-12-01,2017-12-01,2017-12-14,,,,SL/2010/0695,,2017-11-27,OSGB36,353047,476466,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR5,,"West End Nursery, Ulverston",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR5&easting=329363&northing=477244&zoom=10,ETRS89,-3.083930,54.186080,0.61,not owned by a public authority,yes,pending decision,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2017/0297&ApplicationNumber=SL%2F2017%2F0297&AddressPrefix=&Postcode=&Submit=Search,,8,"Demolition of existing building and site structures, erection of 87 dwellings (Use Class C3) with associated open space, landscaping and vehicular access.  Note: Permission covers greenfield and brownfield areas.",,,,,,,,2017-12-01,2017-12-01,2017-12-14,,,LA1.3,SL/2017/0297,,,OSGB36,329363,477244,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR6,,"Depot on the south side of Parkside Road, Kendal",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR6&easting=351822&northing=491855&zoom=10,ETRS89,-2.742160,54.319990,0.18,not owned by a public authority,,pending decision,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2016/0575&ApplicationNumber=2016%2F0575&AddressPrefix=&Postcode=&Submit=Search,,6,"Outline Planning Application with some matters reserved for the development
of 6no. dwellings on land south of Parkside Road, Kendal. 
",,,,,,,,2017-12-01,2017-12-01,2017-12-14,,808,,SL/2016/0575,,,OSGB36,351822,491855,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR7,,"Depot on the north side of Parkside Road, Kendal",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR7&easting=351834&northing=491976&zoom=10,ETRS89,-2.742000,54.321080,1.17,not owned by a public authority,,pending decision,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2016/0574&ApplicationNumber=2016%2F0574&AddressPrefix=&Postcode=&Submit=Search,,43,"Outline Planning Application with all matters, except for access, reserved
for the development of 43no. Dwellings.",,,,,,,,2017-12-01,2017-12-01,2017-12-14,,807,,SL/2016/0574,,,OSGB36,351834,491976,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR8,,"Ulverston Town Hall, Queen St, Ulverston",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR8&easting=328573&northing=478254&zoom=10,ETRS89,-3.096270,54.195050,0.07,owned by a public authority,,pending decision,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2017/0737&ApplicationNumber=&AddressPrefix=ulverston+town+hall&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&DateReceivedStart=&DateReceivedEnd=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC,,17,Change of use of existing building into 9 apartments and erection of new apartment block to rear to provide a further 8 units.,,,,,,,,2017-12-01,2017-12-01,2017-12-14,,,,SL/2017/0737,,,OSGB36,328573,478254,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR9,,"Stables, Cartmel Racecourse, Cartmel",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR9&easting=337839&northing=478932&zoom=10,ETRS89,-2.954420,54.202330,0.48,not owned by a public authority,,not permissioned,,,,,15,,,,15,15,,,,2017-12-01,2017-12-01,2017-12-14,,,LA1.3,,,,OSGB36,337839,478932,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR10,,"Mixed use allocation at Berners Pool, Grange",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR10&easting=340464&northing=477192&zoom=10,ETRS89,-2.913830,54.187030,0.61,owned by a public authority,yes,not permissioned,,,,,20,,,,20,40,,,,2017-12-01,2017-12-01,2017-12-14,,,LA3.1,,,,OSGB36,340464,477192,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
