OrganisationURI,OrganisationLabel,SiteReference,PeviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC1,,"Ledsam Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.924083,52.48027,3.38,mixed ownership,,not permissioned,,,,,210,,,,210,210,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC2,,"83 to 97 Camden Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.915052,52.483596,0.39,unknown ownership,,Pending Decision,,,,,20,,,,20,20,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC10,,"Barr Street 154-156, Aston",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.910178,52.492533,0.12,owned by a public authority,,not permissioned,,,,,8,,,,8,8,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC13,,"41 Cuild Close, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.92419,52.478532,0.14,owned by a public authority,,not permissioned,,,,,5,,,,5,5,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC26,,"Land bounded by Hospital St / Summer La / Henrietta St / Hampton St, Aston",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.901097,52.487256,0.5,unknown ownership,,not permissioned,,,,,50,,,,50,50,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC29,,"Land bounded by Henrietta St / Buckingham Road / Hampton St / Hospital St, Aston",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.901921,52.488204,1.28,unknown ownership,,not permissioned,,,,,90,,,,90,90,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC30,,"Land bounded by Hampton St / Motts St / Buckingham St, Aston",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.903454,52.488721,0.42,mixed ownership,,not permissioned,,,,,29,,,,29,29,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC31,,"Land bounded by Motts St / Howard St / Hampton St / Constitution Hill, Aston",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.903598,52.488016,1.24,unknown ownership,,not permissioned,,,,,87,,,,87,87,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC33,,"Rear of 70 -80 Unett St, Aston",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.90851,52.492272,0.09,owned by a public authority,,not permissioned,,,,,6,,,,6,6,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC42,,"Adj 240 Holiday St, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.910678,52.474231,0.19,mixed ownership,,not permissioned,,,,,13,,,,13,13,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC43,,"82 Granville St, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.91008,52.47544,0.16,unknown ownership,,not permissioned,,,,,11,,,,11,11,,,,19/12/2017,19/12/2017
