OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartof,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,Part2,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1009,,"""Walkergate Hospital, Benfield Road""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.56103361,54.98729187,2.99,Not Owned by a Public Authority,,Not Permissioned,,,,,40,,,,40,71,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1026,,Gap Plant (East of Free Trade) St Lawrence Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.586263439,54.97094358,0.4,Owned by a Public Authority,,Not Permissioned,,,,,60,,,,60,120,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1035,,Spillers Quay,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.584461634,54.96891628,1.54,Owned by a Public Authority,,Not Permissioned,,,,,231,,,,231,462,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1056,,"""Plots 8 And 9 Portland Green Student Village, Shieldfield""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.595903552,54.97786444,0.74,Mixed Ownership,,Permissioned,Full planning permission,10/03/2017,,,79,"Erection of 6 storey block of student accommodation comprising of 15 x studios, 11 x 4 bed cluster, 11 x 5 bed cluster, 29 x 6 bed clusters, 11 x 7 bed clusters and 2 x 8 bed clusters (Class C3/C4) with associated communal facilities and 144sqm retail unit at ground floor, hard and soft landscaping, refuse storage and plant room (AS AMENDED by plans received 22/08/17)",,Associated communal facilities and 144sqm retail unit at ground floor,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1076,,"""Plot 12 Quayside, Ouesburn, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.595455729,54.97160403,0.58,Not Owned by a Public Authority,,Not Permissioned,,,,,44,,,,44,87,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1102,,The Stack PH and land to the west,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.544741053,54.96827553,0.91,Owned by a Public Authority,,Not Permissioned,,,,,28,,,,28,57,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1103,,"""Site of 1243 - 1293 Walker Road, site of former cinema to north, Walker""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.555516735,54.96510865,0.53,Owned by a Public Authority,,Not Permissioned,,,,,21,,,,21,38,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1121,,Land at 1450-1560 Walker Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.549152742,54.96581468,0.27,Owned by a Public Authority,,Not Permissioned,,,,,10,,,,10,19,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1124,,"""Land at Felling View, Caldbeck Avenue, Caldbeck Close, Walker""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.552192722,54.96219981,4.8,Owned by a Public Authority,,Not Permissioned,,,,,170,,,,170,253,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1129,,"""Lamb Street, Walker""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.543377694,54.97117386,1.06,Owned by a Public Authority,,Not Permissioned,,,,,30,,,,30,55,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1140,,"""Site of Byker Buildings, Byker Bank""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.588485978,54.97502643,0.28,Owned by a Public Authority,,Not Permissioned,,,,,32,,,,32,63,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1144,,"""Anglo Swedish Engineering, Glasshouse Street""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.577535429,54.96539415,0.12,Not Owned by a Public Authority,,Not Permissioned,,,,,6,,,,6,9,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1148,,Land east of Pottery Bank ,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.547497557,54.96356919,1.11,Owned by a Public Authority,,Not Permissioned,,,,,40,,,,40,76,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1290,,Unit 1 Bridge View Stepney Lane,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.601523764,54.97364509,0.14,Not Owned by a Public Authority,,Permissioned,Full planning permission,17/11/2016,,,5,Change of use of second floor from office and storage accommodation ancillary to kitchen showrooms on ground and first floors (Class A1 ) to 5 bed student flat (Class C4) and alterations to elevations,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1294,,"""Land off Roman Avenue, Byker""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.56282661,54.98000051,0.49,Not Owned by a Public Authority,,Not Permissioned,,,,,15,,,,15,31,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1374,,Forth Goods Yard,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.620385677,54.96503149,2.57,Not Owned by a Public Authority,,Not Permissioned,,,,,204,,,,204,408,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1515,,"""Loadman Street, Elswick, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.64403,54.96521,5.96,Owned by a Public Authority,,Pending decision,Full planning permission,,,,174,,,,174,315,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1608,,Site of 64-88 Elswick Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.633608822,54.97015373,0.2,Owned by a Public Authority,,Not Permissioned,,,,,8,,,,8,15,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1611,,"""Former Majestic Bingo Hall, Condercum Road""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.660029973,54.97163574,0.3,Owned by a Public Authority,Yes,Permissioned,Full planning permission,06/01/2017,,,5,Erection of 5 x 4 bed houses (Class C3) with associated car parking as amended.,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1672,,9-17 Collingwood Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.61295038,54.96981804,0.06,Not Owned by a Public Authority,,Permissioned,Full planning permission,27/01/2017,,,12,"Conversion of ground and mezzanine floor from bank (Class A2) to restaurant and bar (Class A3/A4) with associated kitchens, storage and plant at basement level. Conversion of first to third floors from offices (Class B1) to 12 flats (Class C3) flats with associated gym, cycle storage, and refuse storage in basement. Erection of extension to house extended fire escape, erection of 4 dormers windows and provision of roof terrace and lobby and provision of extract and ventilation.",,"Conversion of ground and mezzanine floor from bank (Class A2) to restaurant and bar (Class A3/A4) with associated kitchens, storage and plant at basement level.",,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,1782,,"""Wingrove House, Ponteland Road""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.653212418,54.9897898,0.28,Not Owned by a Public Authority,Yes,Not permissioned,,,,,20,,,,20,30,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,2572,,Site of 22-140 Roundhill Avenue,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.67048639,54.99359359,1.11,Owned by a Public Authority,Yes,Not Permissioned,,,,,48,,,,48,70,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,2766,,"""Parkway Special School, Hillhead Parkway""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.710328957,54.99413689,1.16,Owned by a Public Authority,Yes,Permissioned,Outline planning permission,06/07/2017,,,53,Outline Application: Erection of up to 53 affordable homes for older persons (Class C3) with all matters reserved.,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,2788,,"""Princes Bingo Hall, Rokeby Street""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.709941731,54.97799101,0.18,Not Owned by a Public Authority,,Not Permissioned,,,,,9,,,,9,13,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3004,,"""Former Ice Cream Factory, Denton Grove""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.687399056,54.99926082,0.14,Not Owned by a Public Authority,,Not Permissioned,,,,,6,,,,6,10,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3027,,"""Throckley Water Treatment Works, Hexham Road, Newburn""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.76292231,54.99651696,1.56,Not Owned by a Public Authority,,Not Permissioned,,,,,42,,,,42,60,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3038,,"""Land east of Gretna Road Benwell Village, Benwell, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.675008711,54.97494484,0.15,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,12/02/2015,,,9,"Erection of 9 dwellings: 6 houses and 3 flats, with associated gardens and parking, as amended by plans received 29 January 2015",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3040,,Crawhall Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.597044951,54.97465173,0.26,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,27/06/2017,,,134,"Demolition of vacant industrial and commercial buildings and erection of 134 PRS apartments (Class C3) with communal spaces, landscaped courtyard, below ground level car parking, cycle storage and external improvements including hard landscaping as supplemented by information received 15.02.2017, 13.03.2017, 05.04.2017 and 19.04.2017 ",,,,,,,,19/12/2017,19/12/2017
