Organisation URL,Organisation Label,SiteReference,Previously Part of,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR1,,"""Morrisons Local and Car Park""",https://drive.google.com/file/d/1EZUg2F0-J89AyvhPrwz5_JIi2FPUON-J/view,ETRS89,-0.195536,51.369930,0.21,not owned by a public authority,,not permissioned,other,,,,37,,Part of a mixed-use allocation (STC2),,37,75,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR2,,"""Sutton West Centre, Robin Hood Lane""",https://drive.google.com/file/d/1kgdlGCIJrMRlJTG-zLbauW2kSwSC8a9E/view,ETRS89,-0.200435,51.364790,0.80,owned by a public authority,,not permissioned,other,,,,44,,Part of a school allocation (STC4),,44,180,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR3,,"""North of Lodge Place""",https://drive.google.com/file/d/1eD9yz_UjzbtEB4WjACjYzeFv8RrG7dse/view,ETRS89,-0.192949,51.365371,0.30,not owned by a public authority,,not permissioned,other,,,,52,,Part of a mixed-use allocation (STC5),,52,105,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR4,,"""South of Lodge Place""",https://drive.google.com/file/d/1mxhbqaQ2i55CSiz54HXcaLaxcbHWHfdi/view,ETRS89,-0.192868,51.364613,0.37,not owned by a public authority,,not permissioned,other,,,,65,,Part of a mixed-use allocation (STC6),,65,131,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR5,,"""Kwikfit""",https://drive.google.com/file/d/16Est7aYeZhYWLB5gqWMF6YFsw3js8rtP/view,ETRS89,-0.192144,51.365219,0.07,owned by a public authority,,not permissioned,other,,,,4,,Part of a mixed-use allocation (STC7),,4,16,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR6,,"""North of Greenford Road""",https://drive.google.com/open?id=1jl2SWkVtclNniCMYGJG41PdNtN-p5OWu,ETRS89,-0.195106,51.366236,0.07,not owned by a public authority,,not permissioned,other,,,,12,,Part of a mixed-use allocation (STC8),,12,25,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR7,,"""Civic Centre""",https://drive.google.com/open?id=1R4DeBQTzwGH7clQGRaPv13asithwj_BY,ETRS89,-0.195167,51.361867,0.90,owned by a public authority,,not permissioned,other,,,,158,,Part of a mixed-use allocation (STC9),,158,321,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR8,,"""Times Square Car Park""",https://drive.google.com/open?id=1_PcbGRO4rFOs6UzEqPhbeESg3oCTkmqc,ETRS89,-0.191587,51.364410,0.73,owned by a public authority,,not permissioned,other,,,,127,,Part of a mixed-use allocation (STC41),,127,257,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR9,,"""Times House""",https://drive.google.com/open?id=1csz6adzLDXmc8Y9BNcnqvm3AObCtC8S7,ETRS89,-0.192180,51.363574,0.15,not owned by a public authority,,not permissioned,other,,,,26,,Part of a mixed-use allocation (STC40),,26,53,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR10,,"""Elm Grove""",https://drive.google.com/open?id=1UJmyfgdQ9QsCoNsc167Quf9KIHY2sM2_,ETRS89,-0.193550,51.366931,0.60,owned by a public authority,,not permissioned,other,,,,105,,Part of a mixed-use allocation (STC45),,105,213,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR11,,"""Land to rear of Times Square""",https://drive.google.com/open?id=1MGmCZtqkx2EleZay3nv0wsbGHYM5YuzB,ETRS89,-0.191879,51.363174,0.07,not owned by a public authority,,not permissioned,other,,,,12,,Part of a mixed-use allocation (STC39),,12,25,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR12,,"""Houses Adjacent to Manor Park""",https://drive.google.com/open?id=14knn1GiEoBRo8RBHvX3I_30Xg0_queZS,ETRS89,-0.191129,51.363095,0.49,owned by a public authority,,not permissioned,other,,,,27,,Part of a mixed-use allocation (STC38),,27,111,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR13,,"""Wilko Site""",https://drive.google.com/open?id=1ToYLqN4u-p1EtclYnO43wfzdznSqD3o3,ETRS89,-0.191758,51.362425,0.11,owned by a public authority,,not permissioned,other,,,,19,,Part of a mixed-use allocation (STC37),,19,39,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR14,,"""B&Q Sutton""",https://drive.google.com/open?id=1V2s_rGmuIChSMGHsK3uyrAXxNfVpqzGy,ETRS89,-0.188325,51.361473,2.25,not owned by a public authority,,not permissioned,other,,,,394,,Part of a mixed-use allocation (STC36),,394,799,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR15,,"""Land South of Grove Road""",https://drive.google.com/open?id=1Tq_hKkc0DG-NfThb-QqxUFZ4WEyZ54EV,ETRS89,-0.193591,51.359767,0.29,not owned by a public authority,,not permissioned,other,,,,50,,Part of a mixed-use allocation (STC35),,50,102,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR16,,"""Greensleeves Manor""",https://drive.google.com/open?id=1JP6eq3WMEFcIhQpkPMExNTF1uiNl8lNU,ETRS89,-0.194535,51.359573,0.27,not owned by a public authority,,not permissioned,other,,,,15,,Part of a mixed-use allocation (STC34),,15,61,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR17,,"""Land North of Grove Road""",https://drive.google.com/open?id=1XyY7FVhMznESo6PE6I7EM1FZCeayq4-0,ETRS89,-0.193231,51.360800,0.90,not owned by a public authority,,not permissioned,other,,,,158,,Part of a mixed-use allocation (STC33),,158,321,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR18,,"""City House, Sutton Park Road""",https://drive.google.com/open?id=1FWTfetlz6N1LjPHyE_5Rv_WfyvuiiJQ9,ETRS89,-0.194910,51.360999,0.17,not owned by a public authority,,not permissioned,other,,,,30,,Part of a mixed-use allocation (STC32),,30,60,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR19,,"""Gibson Road Car Park""",https://drive.google.com/open?id=1XSezMEtrF2jQxi8nIYCuB9TaCT2G5VqC,ETRS89,-0.197024,51.362399,0.67,owned by a public authority,,not permissioned,other,,,,117,,Part of a mixed-use allocation (STC31),,117,238,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR20,,"""Robin Hood Lane Sites""",https://drive.google.com/open?id=1KoEj9Px9lK7DhP0dCVjs_8KnAFDnKcW3,ETRS89,-0.197235,51.363247,0.56,owned by a public authority,,not permissioned,other,,,,98,,Part of a mixed-use allocation (STC30),,98,199,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR21,,"""St Nicholas House""",https://drive.google.com/open?id=10R6qHrfUP1rZYgtrd6PrhsMGVbVgZ_8L,ETRS89,-0.193850,51.362823,0.32,not owned by a public authority,,not permissioned,other,,,,55,,Part of a mixed-use allocation (STC29),,55,112,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR22,,"""St Nicholas Centre Car Park""",https://drive.google.com/open?id=1VcL2aTmbwelYsFVCnTLWGEWyQ0Lnts4n,ETRS89,-0.195533,51.364507,0.50,not owned by a public authority,,not permissioned,other,,,,88,,Part of a mixed-use allocation (STC28),,88,178,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR23,,"""31-35 St Nicholas Way""",https://drive.google.com/open?id=1EoJ7Y7R6rI7XnC5qa7-VVkcKHcRKlC46,ETRS89,-0.196190,51.366793,0.10,not owned by a public authority,,not permissioned,other,,,,18,,Part of a mixed-use allocation (STC26),,18,36,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR24,,"""Matalan Block""",https://drive.google.com/open?id=1jVbQnQ5UK2brRi3FRQgXtRC95ctZvhpH,ETRS89,-0.194298,51.368103,0.55,not owned by a public authority,,not permissioned,other,,,,97,,Part of a mixed-use allocation (STC25),,97,197,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR25,,"""Sutton Bus Garage""",https://drive.google.com/open?id=1vD1PFXSn52AlKVOBMTom4fmbckjoHuCT,ETRS89,-0.199311,51.369278,0.52,owned by a public authority,,not permissioned,other,,,,29,,Part of a mixed-use allocation (STC23),,29,117,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR26,,"""Herald House, Throwley Way""",https://drive.google.com/open?id=1luCnnk1I7lV9pmyf-m-tI0l2lDwssI3Y,ETRS89,-0.192946,51.365996,0.05,not owned by a public authority,,permissioned,other,2015-12-18,,,12.25,Conversion and extension of building for residential,Part of a mixed-use allocation (STC20),,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR27,,"""Petrol Station North of Subsea 7""",https://drive.google.com/open?id=1sOhkvqDXXwTyyORDy3POY1Lh2ERwaKzK,ETRS89,-0.191816,51.357652,0.32,not owned by a public authority,,not permissioned,other,,,,55,,Part of a mixed-use allocation (STC17),,55,113,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR28,,"""Shops Opposite the Station""",https://drive.google.com/open?id=1mHDpQWFm5vat0gkx_BGNWuxq7v1-9pIa,ETRS89,-0.192126,51.359352,0.26,not owned by a public authority,,not permissioned,other,,,,45,,Part of a mixed-use allocation (STC15),,45,91,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR29,,"""Sutton Station""",https://drive.google.com/open?id=1ewXaBNLx04DGCx1m0fijyTSv4JTkFWwz,ETRS89,-0.189574,51.359789,1.29,not owned by a public authority,,not permissioned,other,,,,225,,Part of a mixed-use allocation (STC14),,225,457,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR31,,"""Beech Tree Place""",https://drive.google.com/open?id=17CwMUoJd0ojI2aZ0ZbGhowhiAaA6LtMZ,ETRS89,-0.194930,51.363479,0.42,owned by a public authority,,not permissioned,other,,,,74,,Part of a mixed-use allocation (STC11),,74,151,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR32,,"""Secombe Theatre""",https://drive.google.com/open?id=1DnlPTJdfud6ZGBr0WQeItosGiYRPDI7d,ETRS89,-0.197252,51.361710,0.90,owned by a public authority,,not permissioned,other,,,,158,,Part of a school allocation (STC10),,158,320,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR33,,"""Halfords Site""",https://drive.google.com/open?id=11cgtht_sTUJB3SCSaLEimoO4xBfaru2f,ETRS89,-0.195792,51.367784,0.29,not owned by a public authority,,not permissioned,other,,,,51,,Part of a mixed-use allocation (STC24),,51,104,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR34,,"""Land at South Point, Sutton Court Road, Sutton. SM1 4TY""",https://drive.google.com/open?id=1wYzLjIMCZlAZzxMHCf9CX30Lcs6hXLVC,ETRS89,-0.190005,51.360274,0.70,not owned by a public authority,,permissioned,full planning permission,2013-07-25,,,,"Redevelopment of the site involving the conversion and extension of existing South Point tower up to 22 storeys in height. Erection of an 11 storey building and a 20 storey building incorporating a link to South Point, all to provide 332 residential unit",Part of a mixed-use allocation (STC13),,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR35,,"""Lidl Supermarket""",https://drive.google.com/open?id=19mY0Ki8DjxSgvQPsfk0E_BL30lBwz2oa,ETRS89,-0.150724,51.359699,0.35,not owned by a public authority,,not permissioned,other,,,,19,,Part of a mixed-use allocation (S12),,19,78,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR36,,"""Depot, Waltham Road""",https://drive.google.com/open?id=17Lrz5Iebu5zETDJda6V8oOHeREEhAr72,ETRS89,-0.175707,51.381538,0.12,owned by a public authority,,not permissioned,other,,,,5,,,,5,10,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR37,,"""Camperdown House, 2a Hawthorn Road""",https://drive.google.com/open?id=1rGmKP72ypcH8n6QWUlqkdaOQkeouv9nR,ETRS89,-0.149509,51.355903,0.06,not owned by a public authority,,not permissioned,other,,,,3,,,,3,14,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR38,,"""Former Youth Centre, Fellowes Road""",https://drive.google.com/open?id=1-loQc0i4uyST-Gd7XTwfG6qn_eUydK4q,ETRS89,-0.172130,51.375376,0.35,owned by a public authority,,permissioned,full planning permission,2016-03-30,,,,"Demolition of redundant Century Youth Centre and associated ball court. Erection of eleven 2-bedroomed and four 3-bedroomed two storey houses in three terraces (100% affordable). Provision of refuse storage, 17 car parking spaces with new vehicular access.",.,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR39,,"""Assembly Walk, off Green Wrythe Lane, Middleton Circle""",https://drive.google.com/open?id=1C-hIA41PGtDbFsjAuF4ft48eo87wXnrN,ETRS89,-0.174665,51.383896,0.20,owned by a public authority,,not permissioned,other,,,,8,,,,8,13,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR40,,"""Garages at Radcliffe Gardens, Carshatlon Beeches""",https://drive.google.com/open?id=1AjkwkZDE7MY3-_2h_QXGUcVqH4_g7aQG,ETRS89,-0.173164,51.352650,0.11,owned by a public authority,,not permissioned,other,,,,4,,,,4,9,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR41,,"""Land to rear of 107 Westmead Road""",https://drive.google.com/open?id=1gTS8mQDyZhrJymzF3c8iOavGPuPQ-OvI,ETRS89,-0.180231,51.366895,0.46,not owned by a public authority,,not permissioned,other,,,,18,,Part of a mixed-use allocation (S61),,18,37,,,,2017-12-31,2017-12-31
