OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Note,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0001,,"Walsh’s Yard, Common Road, Malvern",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,378920,244041,0.35,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,30/09/2016,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71846,,5,Outline application with all matters reserved for erection of up to 6 dwellings,,,5,5,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71846,Development Plan reference SWDP52/1,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0002,,"Portland House, Church Street, Malvern",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,377845,246014,0.22,Owned by a public authority,,Pending Decision,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=73156,,15,,,,15,15,,,Development Plan reference SWDP52/5,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0003,,"(Former Hospital) Landsdowne Crescent, Malvern",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,378160,246080,0.27,Not owned by a public authority,,Not Permissioned,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74121,,15,,,,15,15,,,Development Plan reference SWDP52/8,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0004,,"Pickersleigh Grove, Malvern - part BF (buildings now demolished) and part GF",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,378378,246843,3.29,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,04/05/2017,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74386,,44,"Approval of Reserved Matters for appearance, landscaping and scale following approval of outline permission ref 13/00900/OUT for residential development of 92 residential units.",,,44,44,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74386,Development Plan reference SWDP52f,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0005,,"former Railway Sidings, Peachfield Road;",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,377896,244135,0.66,Not owned by a public authority,,Not Permissioned,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=46526,,18,,,,18,22,,,Development Plan reference SWDP52m,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0006,,"Victoria Road Car Park, Malvern",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,377813,246162,0.28,Owned by a public authority,,Not Permissioned,,,,,18,,,,18,21,,,Development Plan reference SWDP52s,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0007,,"Barracks Store, Court Road, Malvern",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,378336,245167,0.81,Not owned by a public authority,,Not Permissioned,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=58460,,25,,,,25,31,,,Development Plan reference SWDP52*,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0008,,"Malvern Technology Centre, Malvern",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,378649,244696,15.4,Not owned by a public authority,,Not Permissioned,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=76538,,270,,,,270,330,,,Development Plan reference SWDP53A,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0009,,"Land at Braithwaite’s Yard, Main Road, Hallow",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,382787,257719,0.67,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,21/12/2016,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71498,,9,Development of 9 dwellings,,,9,9,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71498,Development Plan reference SWDP59d,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0010,,"Former Royal Oak PH, Main Road, Hallow",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,382686,258432,0.18,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,21/12/2016,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71487,,8,Residential development of 8 dwellings,,,8,8,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71487,Development Plan reference SWDP59zk,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0011,,"Land adj Henwick Mill House, Martley Road - part BF and part GF, Lower Broadheath;",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,383076,256197,1.54,Not owned by a public authority,,Not Permissioned,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=66107,,38,,,,38,46,,,Development Plan reference SWDP59*,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0012,,"Land adj. former Pheasant Inn - part BF and part GF, Welland",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,379792,240031,0.67,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,19/10/2017,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74076,,14,Outline Application for the Erection of up to 14No. Dwellings and Retention of Existing Public House. All Matters Reserved Except Access.,,,14,14,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74076,Development Plan reference SWDP59/13,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0013,,"Land at Wheatfield Court, Callow End",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,383490,250256,0.95,Not owned by a public authority,,Not Permissioned,,,,,13,,,,13,17,,,Development Plan reference SWDP60/3,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0014,,"125 Church Street,Malvern",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,377772,245994,0.1,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,12/08/2014,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=66257,,5,Conversion of existing building (B1 use) and Coach House to form 5 residential units.,,,5,5,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=66257,,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0015,,"Land at Stanford Court, Stanford Bridge",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,370894,265633,1.46,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,18/12/2014,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=67354,,15,Erection of 15 dwellings and associated works,,,15,15,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=67354,,28/12/2017,
http://opendatacommunities.org/id/district-council/malvern-hills,Malvern Hills District Council,MHDCBLR/0016,,"Clay Green Farm, Folly Road, Alfrick",http://maps.wychavon.gov.uk/portal_mhdc/mycustommap.html#/def_planning,ETRS89,375056,253260,0.76,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,22/07/2016,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=68685,,23,"Outline application with all matters reserved (except for access) for a residential development comprising 21 dwellings, including 8 affordable dwellings, with associated access (via existing access) and car parking, and on-site biodiversity and SuDS area.",,,23,23,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=68685,,28/12/2017,
