OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,OtherSiteReferences,Easting,Northing,SiteAreasqm
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0001,,"""St George's Church, Cantelupe Road, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29499,ETRS89,4035710.83,34115.58,0.08,not owned by a public authority,,not permissioned,,,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2009/1382/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/1791/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/278/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/287/P&from=planningSearch,,6,,,,6,6,,,"""Lapsed permission. This brownfield site is part of a larger site that includes greenfield land.""",2017-10-01,2017-10-01,"""RR/2007/1791/P""",575011,107465,794.8
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0002,,"""Tower House, Hilders Cliff, Rye""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29500,ETRS89,4025847.34,51630.82,0.1,not owned by a public authority,,not permissioned,,,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2010/2676/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2005/2399/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2000/1722/P&from=planningSearch,,6,,,,6,6,,,"""Lapsed permission.""",2017-10-01,2017-10-01,"""RR/2010/2676/P""",592179,120550,963.2
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0003,,"""The Warren Yard, Catsfield""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29501,ETRS89,4029962.92,31426.51,0.74,not owned by a public authority,yes,permissioned,reserved matters approval,2016-03-29,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2012/1528/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2011/918/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2011/901/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/3207/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/2542/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2002/1005/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2002/1021/P&from=planningSearch,,6,"""Construction of six private houses""",,,,,,,"""The adjoining commercial scheme (covered by a separate reserved matters application and outside of the site boundary shown) has been commenced. The housing permission has yet to be implemented. Both sites are linked by an S106 agreement.""",2017-10-01,2017-10-01,"""RR/2012/1528/P, RR/2016/184/P""",572122,114810,7447.8
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0004,,"""30-34 Dorset Road, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29502,ETRS89,4035584.02,34050,0.11,not owned by a public authority,,not permissioned,,,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2013/1710/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2010/1469/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/2234/P&from=planningSearch,,10,,,,10,10,,,"""Lapsed permission. This brownfield site is part of a larger site that includes greenfield land.""",2017-10-01,2017-10-01,"""RR/2013/1710/P""",574941,107627,1089.3
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0005,,"""207 Cooden Drive, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29503,ETRS89,4036350.24,30340.29,0.11,not owned by a public authority,yes,not permissioned,,,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2013/1963/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2010/2224/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2010/2225/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2009/226/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2008/3384/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2008/3331/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2008/1471/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2008/813/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2008/285/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2008/9/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/2733/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/2006/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/1788/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/800/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2006/3183/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2006/1975/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2006/1693/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2006/1566/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2003/966/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2003/630/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2000/1469/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/95/1358/P&from=planningSearch,,5,,,,5,5,,,"""Lapsed permission. This brownfield site is part of a larger site that includes greenfield land.""",2017-10-01,2017-10-01,"""RR/2013/1963/P""",571259,106554,1120.8
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0006,,"""Lydd Road Garage, Lydd Road, Camber""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29504,ETRS89,4027295.55,56095.66,0.15,not owned by a public authority,yes,permissioned,full planning permission,2017-10-12,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2017/1754/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2016/1525/MA&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2016/372/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2015/2361/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/97/346/O&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/97/361/P&from=planningSearch,,5,"""Development comprising a terrace of 5 x two bedroom town houses""","""Commercial unit (flexible use for purposes within A1 (shop) / A2 (financial & professional services) / B1(a) (office) / D1 (clinic) or D2 (assembly and leisure)). Approximately 80sqm total.""",,,,,,,2017-10-01,2017-10-01,"""RR/2015/2361/P""",596694,118776,1466.2
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0007,,"""Ruskin House, Bodiam Business Park, Junction Road, Bodiam""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29505,ETRS89,4021811.19,36692.33,0.14,not owned by a public authority,yes,not permissioned,,,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2015/2965/PN3&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/1999/1308/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/98/348/P&from=planningSearch,,11,,,,11,11,,,"""Permitted development, prior approval not required. Proposed Change of use to convert existing office building into eleven flats of either one or two bedrooms. Decided 01/12/2015""",2017-10-01,2017-10-01,"""RR/2015/2965/PN3""",577102,125422,1389.1
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0008,,"""Former Countrycraft Site, George Hill, Robertsbridge""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29506,ETRS89,4023322.03,33320.79,0.11,not owned by a public authority,yes,permissioned,full planning permission,2016-03-18,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2015/3106/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2014/2779/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2005/3312/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/98/808/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/98/628/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/97/2745/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/96/1903/P&from=planningSearch,,5,"""Erection of 5 dwellings.""",,,,,,,,2017-10-01,2017-10-01,"""RR/2015/3106/P""",573784,123402,1108.5
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0009,,"""85 Ashdown Road, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29507,ETRS89,4035538.25,34446.69,0.05,not owned by a public authority,,permissioned,outline planning permission,2015-04-13,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2015/462/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2012/36/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2011/1809/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/427/P&from=planningSearch,,7,"""Outline: Development of a single building containing seven apartments.""",,,,,,,,2017-10-01,2017-10-01,"""RR/2015/462/P""",575336,107695,546.7
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0010,,"""Chintings, Upper Sea Road, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29508,ETRS89,4035495.97,33631.97,0.06,not owned by a public authority,,permissioned,full planning permission,2015-11-03,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2015/655/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2014/501/T&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2010/1220/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/694/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2006/2831/T&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2006/1649/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2006/638/P&from=planningSearch,,7,"""Outline: Proposed demolition of building containing 7 flats and erection of 14 new flats.""",,,,,,,"""This brownfield site is part of a larger site that includes greenfield land.""",2017-10-01,2017-10-01,"""RR/2015/655/P""",574520,107731,555.2
