OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing,Location,Well Known Text Geometry
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR013,,"19-37 Highgate Road, Day Centre, former Lensham House (A&A Storage) 25 and 37 Greenwood Place",https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.14386,51.553155,0.65,mixed ownership,Yes,permissioned,full planning permission,18/06/2014,http://planningrecords.camden.gov.uk/Northgate/PlanningExplorer17/Generic/StdDetails.aspx?PT=Planning%20Applications%20On-Line&TYPE=PL/PlanningPK.xml&PARAM0=364942&XSLT=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/xslt/PL/PLDetails.xslt&FT=Planning%20Application%20Details&PUBLIC=Y&XMLSIDE=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/Menus/PL.xml&DAURI=PLANNING,,42,"Demolition of existing buildings and redevelopment to provide: a new 3,228sqm (GIA) Centre for Independent Living (CIL) (Class D1) comprising 3 storeys plus basement at Greenwood Place; a part 5 part 7 storey mixed-use development at Highgate Road comprising 42 residential units (including 8 supported affordable housing units) and 100sqm (GIA) social enterprise in flexible retail, restaurant/café, office or community use (Classes A1/A3/B1/D1) at ground floor level; highway improvements to Greenwood Place, and associated plant, landscaping, servicing and disabled car parking.",,,,,,,,22/12/2017,22/12/2017,528783.38,185439.44,"(51.553155, -0.14386)","POLYGON ((528847.955 185447.948,528825.982 185438.233,528824.652 185436.994,528822 185435.867,528819.65 185433.618,528819.453 185433.418,528819.018 185431.741,528810.787 185424.068,528810.35 185424.02,528809.896 185424.32,528799.598 185432.268,528792.301 185422.87,528794.849 185420.871,528806.796 185411.513,528807.901 185410.664,528784.352 185380.222,528758.248 185399.966,528740.15 185414.172,528736.902 185416.772,528731.246 185421.22,528730.248 185422.17,528726.95 185425.419,528726.843 185425.559,528745.699 185449.273,528754.2 185460.12,528761.003 185468.768,528779.752 185487.823,528786.002 185495.721,528787.602 185494.471,528791.403 185491.422,528794.247 185489.173,528794.8 185489.872,528806.904 185480.315,528807.753 185481.415,528810.4 185479.315,528809.6 185478.216,528825.299 185465.819,528826.049 185466.869,528828.349 185465.019,528827.599 185464.02,528843.1 185451.823,528843.85 185452.773,528846.348 185450.773,528845.549 185449.824,528847.955 185447.948))"
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR070,,Arthur West House 79 Fitzjohn's Avenue London NW3 6PA,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.177878,51.554247,0.21,unkown ownership,Yes,permissioned,full planning permission,28/08/2015,http://planningrecords.camden.gov.uk/Northgate/PlanningExplorer17/Generic/StdResults.aspx?PT=Planning%20Applications%20On-Line&SC=Application%20Number%20is%202014/7851/P%20and%20Date%20Validated%20is%20between%2001%20January%201927%20and%2031%20December%202017&FT=Planning%20Application%20Search%20Results&XMLSIDE=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/Menus/PL.xml&XSLTemplate=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/xslt/PL/PLResults.xslt&PS=10&XMLLoc=/Northgate/PlanningExplorer17/generic/XMLtemp/xtcpr1jw2rbnjc55fab2yvay/2a45c1db-80a1-4084-bd17-1c5287f597bd.xml,,29,"Demolition of hostel and erection of 3 - 6 storey building plus roof plant enclosure and excavation of 2 storey basement to provide 33 self-contained wheelchair accessible flats for the care & well-being of older people (13 x 2-bed & 20 x 3-bed) including ancillary extra-care and treatment rooms, restaurant, health & well-being facility, gym, communal lounges, guest suite, cycle and mobility scooter storage and staff facilities with basement level car park , communal garden and associated landscaping.",,,,,,,,22/12/2017,22/12/2017,526422.03,185501.59,"(51.554247, -0.177878)","POLYGON ((526433.415 185535.356,526446.247 185518.158,526452.597 185509.956,526434.473 185488.656,526424.022 185476.618,526415.092 185468.283,526389.361 185495.668,526433.415 185535.356))"
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR080,,The Cock Tavern 23 Phoenix Road London NW1 1HB,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.131419,51.531198,0.03,unkown ownership,Yes,permissioned,full planning permission,06/04/2016,http://planningrecords.camden.gov.uk/Northgate/PlanningExplorer17/Generic/StdResults.aspx?PT=Planning%20Applications%20On-Line&SC=Application%20Number%20is%202015/1496/P%20and%20Date%20Validated%20is%20between%2001%20January%201927%20and%2031%20December%202017&FT=Planning%20Application%20Search%20Results&XMLSIDE=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/Menus/PL.xml&XSLTemplate=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/xslt/PL/PLResults.xslt&PS=10&XMLLoc=/Northgate/PlanningExplorer17/generic/XMLtemp/xtcpr1jw2rbnjc55fab2yvay/c62ed5e8-a900-4f3d-aafe-42326fe394b4.xml,,5,"Retention of basement and ground floor public house (A4) along with first floor function room; change of use to upper floors and a loft conversion to create 5 self-contained residential (C3) units (1x1 bed, 3x2 bed and 1x3 bed); two storey rear extension, construction of dormers, other external improvements to the building and associated internal works to accommodate the residential use.",,,,,,,,22/12/2017,22/12/2017,529708.23,183019.78,"(51.531198, -0.131419)","POLYGON ((529696.798 183023.549,529705.2 183029.298,529708.902 183031.747,529714.154 183023.949,529714.847 183022.949,529719.752 183015.951,529709.1 183008.754,529706.651 183008.953,529696.798 183023.549))"
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR020,,6-17 Tottenham Court Road & others,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.131535,51.517228,0.26,not owned by a public authority,,not permissioned,,,Fitzrovia Area Action Plan http://camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/fitzrovia-aap.en,,20,"Redevelopment could provide around 3,000sqm of additional floorspace, an element of which could include housing. The Council’s preferred approach is a mix of uses with a retail frontage on Tottenham Court Road and provision of permanent self-contained housing, including an appropriate contribution to affordable housing. Any additional non-residential floorspace should be matched by an equal addition to floorspace for permanent self-contained housing (in Use Class C3), subject to relevant development plan policy criteria for mixed-use development.","Redevelopment could provide around 3,000sqm of additional floorspace, an element of which could include housing.",,,,,,,22/12/2017,22/12/2017,529739.89,181466.1,"(51.517228, -0.131535)","POLYGON ((529742.902 181499.179,529743.438 181498.649,529743.702 181498.919,529743.966 181498.919,529744.238 181499.179,529746.373 181499.179,529746.637 181498.919,529746.909 181498.919,529747.173 181498.649,529747.437 181498.649,529747.437 181498.379,529747.709 181498.379,529747.709 181498.119,529747.973 181498.119,529747.973 181497.849,529748.245 181497.579,529748.245 181497.309,529748.509 181497.309,529777.086 181453.241,529776.823 181453.241,529777.086 181452.971,529777.086 181452.441,529777.358 181452.441,529777.358 181451.641,529777.622 181451.371,529777.622 181450.301,529777.358 181450.301,529777.358 181449.232,529777.086 181449.232,529777.086 181448.962,529776.822 181448.702,529776.822 181448.432,529776.558 181448.162,529776.286 181447.892,529776.757 181446.962,529776.822 181446.832,529771.215 181443.353,529767.343 181441.951,529765.337 181441.224,529763.582 181443.949,529762.929 181444.963,529762.621 181444.74,529758.122 181441.484,529758.032 181441.609,529756.786 181443.353,529755.949 181442.793,529755.187 181442.284,529754.698 181443.259,529754.651 181443.353,529753.963 181444.327,529751.444 181447.892,529750.916 181448.962,529749.58 181447.892,529749.044 181448.432,529748.508 181449.502,529746.367 181447.941,529745.573 181447.362,529746.101 181446.562,529747.476 181444.452,529750.108 181440.414,529750.38 181440.154,529746.909 181437.745,529744.492 181441.32,529740.766 181446.832,529730.495 181462.344,529728.209 181465.797,529727.871 181465.544,529723.938 181462.588,529724.739 181461.385,529727.673 181456.979,529713.855 181447.168,529711.116 181445.223,529707.909 181442.824,529705.171 181440.766,529704.701 181440.414,529697.223 181451.371,529701.23 181457.249,529701.766 181458.049,529714.852 181475.405,529719.659 181480.213,529721.794 181482.623,529731.417 181492.24,529737.559 181497.049,529740.231 181499.179,529742.102 181500.518,529742.902 181499.179))"
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR025,,13 St Cross Street London EC1N 8UB,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.106531,51.520939,0.03,unkown ownership,Yes,permissioned,full planning permission,25/06/2015,http://planningrecords.camden.gov.uk/Northgate/PlanningExplorer17/Generic/StdDetails.aspx?PT=Planning%20Applications%20On-Line&TYPE=PL/PlanningPK.xml&PARAM0=263331&XSLT=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/xslt/PL/PLDetails.xslt&FT=Planning%20Application%20Details&PUBLIC=Y&XMLSIDE=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/Menus/PL.xml&DAURI=PLANNING,,8,"Erection of a seven storey plus basement building to create eight self contained flats (1 x 1 bedroom, 6 x 2 bedroom and 1 x 3 bedroom) on existing vacant land (Class C3).",,,,,,,,22/12/2017,22/12/2017,531463.92,181923.32,"(51.520939, -0.106531)","POLYGON ((531454.999 181927.29,531457.499 181929.44,531458.499 181931.64,531465.899 181934.09,531468.449 181926.64,531470.399 181921.04,531472.349 181915.34,531468.749 181914.14,531468.999 181913.44,531466.249 181911.94,531463.599 181916.64,531461.249 181915.39,531454.999 181927.29))"
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR029,,"Land bounded by Fisher Street, Catton Street, 8-10 Southampton Row. (Former site of 1-2 Fisher Street and 2-6 (even) Catton Street.",https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.12003,51.51835,0.02,unkown ownership,Yes,permissioned,full planning permission,01/05/2015,http://planningrecords.camden.gov.uk/Northgate/PlanningExplorer17/Generic/StdResults.aspx?PT=Planning%20Applications%20On-Line&SC=Application%20Number%20is%202013/1477/P%20and%20Date%20Validated%20is%20between%2001%20January%201927%20and%2031%20December%202017&FT=Planning%20Application%20Search%20Results&XMLSIDE=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/Menus/PL.xml&XSLTemplate=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/xslt/PL/PLResults.xslt&PS=10&XMLLoc=/Northgate/PlanningExplorer17/generic/XMLtemp/xtcpr1jw2rbnjc55fab2yvay/a762ff47-2017-460d-bea8-73f15471d701.xml,,22,"Development of Crossrail site for the erection of a part 8/part 9 storey building to provide 22 residential units (Class C3) namely 5 x 1-bedroom, 14 x 2-bedroom, 2 x 3-bedroom and 1 x 4-bedroom self-contained flats with associated entrances, refuse and cycle storage and substation; alterations to ground floor facade and screening of Crossrail head house building.  This application is accompanied by an Environmental Statement.",,,,,,,,22/12/2017,22/12/2017,530534.9,181611.35,"(51.51835, -0.12003)","POLYGON ((530534.496 181602.796,530533.598 181605.095,530529.351 181616.002,530534.95 181620.901,530540.301 181605.995,530540.598 181605.195,530534.496 181602.796))"
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR061,,4 - 5 Loveridge Mews London NW6 2DP,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.202391,51.546255,0.02,unkown ownership,Yes,permissioned,full planning permission,05/11/2014,http://planningrecords.camden.gov.uk/Northgate/PlanningExplorer17/Generic/StdResults.aspx?PT=Planning%20Applications%20On-Line&SC=Application%20Number%20is%202014/5547/P%20and%20Date%20Validated%20is%20between%2001%20January%201927%20and%2031%20December%202017&FT=Planning%20Application%20Search%20Results&XMLSIDE=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/Menus/PL.xml&XSLTemplate=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/xslt/PL/PLResults.xslt&PS=10&XMLLoc=/Northgate/PlanningExplorer17/generic/XMLtemp/xtcpr1jw2rbnjc55fab2yvay/41b8b036-6d84-42be-b787-0c6298e893f2.xml,,5,Erection of mansard roof extension comprising 3 bed flat (Class C3) and alterations to fenestration of existing office building (Class B1a).,,,,,,,,22/12/2017,22/12/2017,524744.57,184570.82,"(51.546255, -0.202391)","POLYGON ((524745.548 184562.749,524741.549 184568.547,524737.551 184574.495,524743.701 184578.804,524747.651 184572.996,524751.551 184567.297,524745.548 184562.749))"
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR034,,17 Goldington Crescent London NW1 1UA,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.13333,51.535175,0.03,unkown ownership,Yes,permissioned,full planning permission,30/03/2015,http://planningrecords.camden.gov.uk/Northgate/PlanningExplorer17/Generic/StdResults.aspx?PT=Planning%20Applications%20On-Line&SC=Application%20Number%20is%202013/6370/P%20and%20Date%20Validated%20is%20between%2001%20January%201927%20and%2031%20December%202017&FT=Planning%20Application%20Search%20Results&XMLSIDE=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/Menus/PL.xml&XSLTemplate=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/xslt/PL/PLResults.xslt&PS=10&XMLLoc=/Northgate/PlanningExplorer17/generic/XMLtemp/xtcpr1jw2rbnjc55fab2yvay/64394a63-f6aa-487b-b6b4-a3d952ef2891.xml,,5,Demolition of former public house and erection of a new two-storey building to provide five new residential units (1x3 bedroom and 4x2 bedroom flats) and alterations to the existing former landlord's flat within Crowndale Court (Class C3).,,,,,,,,22/12/2017,22/12/2017,529564.39,183458.63,"(51.535175, -0.13333)","POLYGON ((529555.453 183465.653,529557.951 183466.303,529558.751 183466.003,529559.147 183465.953,529559.501 183466.003,529559.996 183466.053,529560.499 183466.203,529560.796 183466.403,529561.051 183466.652,529561.901 183467.352,529564.251 183464.703,529566.304 183466.503,529569.898 183462.604,529574.697 183457.295,529564.704 183448.498,529556.302 183457.295,529558.652 183459.305,529556.047 183462.204,529555.799 183463.603,529555.453 183465.653))"
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR019,,"Land Bounded by 50-57 High Holborn, (including Brownlow House High Holborn House & Caroline House) 18-25 Hand Court , 45-51 Bedford Row & Brownlow Street, London WC1V 6RL",https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.115237,51.518607,0.37,not owned by a public authority,,permissioned,full planning permission,27/10/2011,http://planningrecords.camden.gov.uk/Northgate/PlanningExplorer17/Generic/StdDetails.aspx?PT=Planning%20Applications%20On-Line&TYPE=PL/PlanningPK.xml&PARAM0=251197&XSLT=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/xslt/PL/PLDetails.xslt&FT=Planning%20Application%20Details&PUBLIC=Y&XMLSIDE=/Northgate/PlanningExplorer17/SiteFiles/Skins/Camden/Menus/PL.xml&DAURI=PLANNING,,22,"2009/0675/P: Mixed use redevelopment of the site involving the demolition of Caroline House, 18-22 Hand Court and parts of High Holborn House, retention of façade and rebuild of part of High Holborn House facing High Holborn and the façade of 23 Hand Court and rear of High Holborn House (49-51 Bedford Row), Brownlow House and 45-48 Bedford Row. The erection of a new eight storey (plus two level basement and roof plant floor) building to accommodate A1 (Retail) floorspace and flexible A3/A4 (Restaurant/Drinking Establishment) at ground floor level together with new B1 (Office) space. Conversion of 46-48 Bedford Row to create 3x single family dwellings, change of use and extension of existing B1 (office) space to form 15x residential units within, 45 Bedford Row and 49-51 Bedford Row; conversion and extension of Brownlow House to provide 10x residential units (affordable housing); Redevelopment of 23 Hand Court to provide 22 student units in place of 6x existing residential units; new servicing access from Brownlow Street, and various public realm works to Brownlow Street, Bedford Row and Hand Court.",,,,,,,,22/12/2017,22/12/2017,530866.67,181648.42,"(51.518607, -0.115237)","POLYGON ((530900.816 181610.573,530859.235 181602.415,530857.397 181614.002,530842.919 181652.682,530831.343 181686.893,530846.341 181689.522,530872.923 181692.952,530897.922 181623.74,530900.816 181610.573))"
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR023,,Fire Station 20 Highgate Road,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.119397,51.523431,0.01,owned by a public authority,,not permissioned,,,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/,,26,"Redevelopment of the site to provide a mix of uses. Development will be expected to:• Safeguard the provision of fire station facilities or support alternative local fire service and facility provision.• Optimise the potential of the site to provide new housing while minimising potential conflicts between residential and other uses• Provide an acceptable standard of residential accommodation for any new homes proposed for the site.• Ensure that the amenity of nearby residential occupiers is maintained• Provide an appropriate level of affordable housing, in line with adopted council policies• Explore the potential to link up with existing and emerging developments to form a decentralised energy network",Redevelopment of the site to provide a mix of uses.,,,,,,,22/12/2017,22/12/2017,530564.25,182177.49,"(51.523431, -0.119397)","POLYGON ((530558.102 182178.001,530559.504 182174.002,530561.301 182173.253,530569.002 182175.902,530569.95 182178.051,530568.548 182181.9,530566.85 182181.6,530559.446 182178.851,530559.611 182178.401,530558.102 182178.001))"
