OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,Siteplan,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,HELAA Reference
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR001,N/A,"NRT Electrical & Mechanical, Castle House, Park Road, Banstead",http://www.reigate-banstead.gov.uk/downloads/file/3819/rbbcblr001,OSGB36,525916,525916,0.18,Not owned by a public authority.,Yes,Permissioned,Full planning,19/11/2015,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,10,Conversion of ground floor and first floor of southern wing of Castle House from office use to residential use.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,BV20
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR002,N/A,"Hengest Farm, Woodmansterne Lane, Banstead",http://www.reigate-banstead.gov.uk/downloads/file/3820/rbbcblr002,OSGB36,526372,160059,0.59,Not owned by a public authority.,Yes,Permissioned,Full planning,22/12/2016,http://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OA5NMYMVLXX00,7,Permission to demolish the existing buildings on site to provide 7 dwellings.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,BV30
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR003,N/A,"8 Brighton Road, Hooley",http://www.reigate-banstead.gov.uk/downloads/file/3822/rbbcblr003,OSGB36,528831,156748,0.1,Not owned by a public authority.,Yes,Permissioned,Full planning,24/03/2013,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,5,Conversion of detached 7 bedroomhouse to 5 flats.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,CHW14
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR004,N/A,"Courtlands Farm, Park Road, Banstead",http://www.reigate-banstead.gov.uk/downloads/file/3825/rbbcblr004,OSGB36,526616,159185,2.5,Not owned by a public authority.,Yes,Permissioned,Full planning,20/01/2017,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,9,"Removal of hardstanding and buildings, erection of 9 detached houses and retained bunker.",N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,CHW15
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR005,N/A,"Kingswood Station, Waterhouse Lane, Kingswood",http://www.reigate-banstead.gov.uk/downloads/file/3829/rbbcblr005,OSGB36,524810,156592,0.78,Not owned by a public authority.,Yes,Permissioned,Full planning,24/05/2017,http://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OB2ZPSMVGSQ00,18,Redevelopment of the site to provide 18 residential dwelling houses.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,KBH12
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR006,N/A,"Land south of Margery Lane (Kingswood Hall Estate), Lower Kingswood",http://www.reigate-banstead.gov.uk/downloads/file/3830/rbbcblr006,OSGB36,525180,152543,0.36,Not owned by a public authority.,Yes,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,7,N/A,N/A,7,N/A,N/A,N/A,31/12/2017,N/A,KBH23
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR007,N/A,"Frith Park Mansion, Sturts Lane, Walton on the Hill",http://www.reigate-banstead.gov.uk/downloads/file/3823/rbbcblr007,OSGB36,521577,153806,1.64,Not owned by a public authority.,Yes,Permissioned,Full planning,24/03/2016,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,37,Full planning permission and listed building consent is sought for a mixed-use redevelopment comprising 37 residential dwellings and employment uses.,46sqm B1(a)/ B1(c)/ B2/ B8,N/A,N/A,N/A,N/A,31/12/2017,N/A,TW05
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR008,N/A,"Hockley Business Centre, Hooley Lane, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3828/rbbcblr008,OSGB36,527836,149721,0.52,Not owned by a public authority.,Yes,Permissioned,Full planning,08/05/2017,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,50,"Partial demolition of existing buildings and erection of 4 apartment blocks containing 49 flats, retention of locally listed wall and conversion of existing building into 2 bed house. ",N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,EW08
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR009,N/A,"Redhill Aerodrome, Kings Mill, Lane, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3824/rbbcblr009,OSGB36,530118,147960,6.54,Not owned by a public authority.,No,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,130,N/A,N/A,130,N/A,N/A,"The site has been identified, as part of a wider site, in the Regulation 19 Development Management Plan as a safeguarding site. ",31/12/2017,N/A,EW09
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR010,N/A,"Units 1 & 2 and Land R/O 8-13 Maple Works, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3826/rbbcblr010,OSGB36,527705,148025,0.15,Not owned by a public authority.,Yes,Permissioned,Full planning,16/02/2016,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,6,Demolition of warehouses and erection of 6 four bedroom houses.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,EW14
