OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Eastings,Northings
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AS/1,,Former Carpet Auctions Comberton Place,http://www.wyreforestdc.gov.uk/media/3411897/AS1-Comberton-Place.png,ETRS89,,,0.51,not owned by a public authority,yes,permissioned,full planning permission,2017-10-24,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0269/FULL,,23,Demolition of existing buildings to provide 23  new dwelling houses with associated landscaping and parking,,,23,,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0268/FULL 8 flats approved under separate application,2017-12-31,2017-12-31,383641,276316
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AS/3,,Service Station Chester Road South,http://www.wyreforestdc.gov.uk/media/3411848/AS3-Chester-Road-South-Service-Station.png,ETRS89,,,0.41,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0617/OUTL,,10,Outline application for proposed residential development of 10 dwelling houses with all matter reserved,,,10,,,,Allocated for residential development under SAL.KSS1,2017-12-31,2017-12-31,383781,275857
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AS/6,,Lea Street School Lea Street,http://www.wyreforestdc.gov.uk/media/3411849/AS6-Lea-Street-School.png,ETRS89,,,0.47,owned by a public authority,yes,not permissioned,,,,,24,,,,24,,,,,2017-12-31,2017-12-31,383881,276596
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AS/7,,Former Polish Club St.Georges Terrace,http://www.wyreforestdc.gov.uk/media/3411850/AS7-Former-Polish-Club.png,ETRS89,,,0.11,not owned by a public authority,yes,permissioned,full planning permission,2015-10-15,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=15/0487/FULL,,8,Proposed re-development of existing Polish club building to Eight 1 bed apartments,,,8,,,,,2017-12-31,2017-12-31,383627,276541
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AS/8,,Adjacent 78 Cherry Orchard,http://www.wyreforestdc.gov.uk/media/3411851/AS8-78-Cherry-Orchard.png,ETRS89,,,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-02-17,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=16/0705/FULL,,5,Proposed 5no One Bed Flats (Resubmission of Previously Approved Ref No. 09/0487/FULL),,,5,,,,,2017-12-31,2017-12-31,383705,276424
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/7,,93-94 New Road,http://www.wyreforestdc.gov.uk/media/3411852/BHS7-93-94-New-Road.png,ETRS89,,,0.06,not owned by a public authority,yes,not permissioned,,,,,8,,,,8,,,,,2017-12-31,2017-12-31,383209,276355
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/8,,site of British Heart Foundation Market Street,http://www.wyreforestdc.gov.uk/media/3411853/BHS8-Former-British-Heart-Foundation-Market-Street.png,ETRS89,,,0.05,not owned by a public authority,yes,not permissioned,,,,,10,,,,10,,,,,2017-12-31,2017-12-31,383233,276442
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/10,,Frank Stone Building Green Street,http://www.wyreforestdc.gov.uk/media/3411854/BHS10-Frank-Stone-Building.png,ETRS89,,,0.32,not owned by a public authority,yes,not permissioned,,,,,16,,,,16,,,,Allocated for mixed of uses including housing under KCA.HP2,2017-12-31,2017-12-31,383321,276179
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/15,,37 Park Lane,http://www.wyreforestdc.gov.uk/media/3411856/BHS15-Former-Parkers-Arms-Site.png,ETRS89,,,0.05,not owned by a public authority,yes,not permissioned,,,,,7,,,,7,,,,,2017-12-31,2017-12-31,382992,276343
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/16,,Timber Yard Park Lane,http://www.wyreforestdc.gov.uk/media/3411857/BHS16-Timber-Yard.png,ETRS89,,,2.1,mixed ownership,yes,not permissioned,,,,,55,,,,55,,,,,2017-12-31,2017-12-31,382880,276525
