OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1343,,"Land off Wentworth Road, Mapplewell, Barnsley",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,433386.132,409506.019,0.5,unknown ownership,yes,permissioned,full planning permission,29/11/2013,,,25,Residential development of 25 dwellinghouses,,,25,25,,,,02/08/2017,02/08/2017,,2013/0542
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1628,,"Grove street junior & infant school, grasmere road, barnsley, south yorkshire, s71 1es",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,435234.972,406315.443,0.5,unknown ownership,yes,permissioned,full planning permission,19/05/2016,,,32,Demolition of existing school and erection of 32 no dwellings and associated infrastructure.,,,32,32,,,,02/08/2017,02/08/2017,,2015/0462
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1916,,"The lundwood, pontefract road, lundwood, barnsley",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,437475.32,407477.69,0.3,unknown ownership,,permissioned,full planning permission,01/06/2011,,,14,Erection of 14 no. Dwellinghouses.,,,14,14,,,,02/08/2017,02/08/2017,,2011/0264
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1973,,"Land at School Street, Bolton upon Dearne, Barnsley, South Yorkshire",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,445483.517,402714.743,0.3,unknown ownership,yes,permissioned,full planning permission,18/10/2016,,,14,Erection of 14 no. Dwellings comprising of 4 no. Pairs of semi detached houses and 6 no. Townhouses,,,14,14,,,,02/08/2017,02/08/2017,,2016/0481
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2198,,"G m asquith fabrications ltd, beever street, goldthorpe, rotherham, s63 9ht",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,446599.247,404269.238,0.3,unknown ownership,,permissioned,outline planning permission,10/04/2014,,,11,Residential development. (outline),,,11,11,,,,02/08/2017,02/08/2017,,2014/0020
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2237,,"Penistone coal drops, st. Mary's street penistone sheffield S36 6DT",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,424401.497,403408.085,0.6,unknown ownership,,permissioned,full planning permission,10/10/2014,,,15,"Conversion of the Coal Drops to Shops / Office falling within Use Classes A1 to A5 inclusive. Erection of Combined A1 Shop and A3 Cafe to the rear of the Coal drops. Conversion of Regency House to consulting rooms falling within Class D1, the demolition of the former workshop and erection of 13 dwellings and 2 live work units Use Class B1/C3 (Resubmission)",,,15,15,,,,02/08/2017,02/08/2017,,2013/0544
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2256,,"Belle vue house, cockerham lane, barnsley, s75 1at",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,434253.059,407198.92,1.9,unknown ownership,,permissioned,full planning permission,17/12/2014,,,22,"Conversion of Belle Vue House to 5 no. apartments (Full), and residential developments of 17 no. dwelling houses, 1no. sports pitch, ancillary works and car parking (Outline).",,,22,22,,,,02/08/2017,02/08/2017,,2014/0808
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2260,,"Land at High Street, Royston, Barnsley",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,435886.497,411375.044,1,unknown ownership,,permissioned,outline planning permission,04/06/2014,,,10,"Erection of a foodstore with parking, landscaping and associated works (Full) and erection of a residential development (Outline) including details of access.",,,10,10,,,,02/08/2017,02/08/2017,,2014/0318
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2281,,"Bolton hall nursing home, carr head lane, bolton upon dearne, rotherham, s63 8da",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,445047.155,402709.245,1.2,unknown ownership,yes,permissioned,full planning permission,29/03/2017,,,28,Demolition of existing building and erection of 28 no. Dwellings with associated external works.,,,28,28,,,,02/08/2017,02/08/2017,,2016/0926
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2317,,"Pearson Crescent, Barnsley, South Yorkshire, S73 8sq",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,438521.692,403876.181,0.2,unknown ownership,,permissioned,full planning permission,30/09/2015,,,3,Residential development of 3.no dwellings including parking improvements to the land.,,,3,3,,,,02/08/2017,02/08/2017,,2015/0998
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2322,,"Land adjacent, 28 greenfoot lane, old town, barnsley, s75 2sy",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,433462.069,407103.197,0.3,unknown ownership,,permissioned,full planning permission,09/12/2016,,,8,Erection of 8 no. Houses. (resubmission),,,8,8,,,,02/08/2017,02/08/2017,,2016/1163
