OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,NonHousing Development,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/eastleigh,Eastleigh Borough Council,BLR-1-1,,"Nuttalls Yard, Allbrook Hill, Allbrook",https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,OSGB36,446004,121060,0.6,not owned by a public authority,,Not Permissioned,,,,,16,,,,01/09/2017,21/12/2017
http://opendatacommunities.org/id/district-council/eastleigh,Eastleigh Borough Council,BLR-2-1,,"Land at south of Long Garden Cottage, Winchester Road (Braxell's Farm), Botley",https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,OSGB36,450341,115182,0.8,not owned by a public authority,,Pending Decision,,,,,14,,,,01/09/2017,21/12/2017
http://opendatacommunities.org/id/district-council/eastleigh,Eastleigh Borough Council,BLR-3-1,,"59-61 Brownhill Road, Chandlers Ford",https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,OSGB36,443521,121376,0.38,not owned by a public authority,yes,Permissioned,Full Planning Permission,16/06/2017,,,12,,,,01/09/2017,21/12/2017
http://opendatacommunities.org/id/district-council/eastleigh,Eastleigh Borough Council,BLR-3-2,,"Rear of shopping parade, Hiltingbury, Chandlers Ford",https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,OSGB36,443434,122179,0.5,mixed ownership,yes,Not Permissioned,,,,,16,,,,01/09/2017,21/12/2017
http://opendatacommunities.org/id/district-council/eastleigh,Eastleigh Borough Council,BLR-3-3,,"Junction at Leigh Road and Bournemouth Road, Chandlers Ford",https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,OSGB36,443103,119763,0.45,not owned by a public authority,,Not Permissioned,,,,,14,,,,01/09/2017,21/12/2017
http://opendatacommunities.org/id/district-council/eastleigh,Eastleigh Borough Council,BLR-3-4,,"Central Precinct, Chandlers Ford",https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,OSGB36,443452,120521,0.9,not owned by a public authority,,Not Permissioned,,,,,64,,,,01/09/2017,21/12/2017
http://opendatacommunities.org/id/district-council/eastleigh,Eastleigh Borough Council,BLR-3-5,,"Common Road Industrial Estate, Chandlers Ford",https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,OSGB36,443002,121721,0.8,not owned by a public authority,,Not Permissioned,,,,,25,,,,01/09/2017,21/12/2017
http://opendatacommunities.org/id/district-council/eastleigh,Eastleigh Borough Council,BLR-3-6,,"Draper Tools, Chandlers Ford",https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,OSGB36,442801,121671,4.7,not owned by a public authority,,Permissioned,Outline Planning Permission,06/07/2017,,,130,,,,01/09/2017,21/12/2017
http://opendatacommunities.org/id/district-council/eastleigh,Eastleigh Borough Council,BLR-4-1,,"10-20 Romsey Road, Eastleigh",https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,OSGB36,445425,119244,0.31,not owned by a public authority,,Pending Decision,,,,,49,,,,01/09/2017,21/12/2017
http://opendatacommunities.org/id/district-council/eastleigh,Eastleigh Borough Council,BLR-4-2,,"Land at Toynbee Road, Eastleigh",https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,OSGB36,445134,119544,1.9,unknown ownership,,Not Permissioned,,,,,64,,,,01/09/2017,21/12/2017
