OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,15/00569/OUT,,7 City Road; Stathern,https://arcg.is/1CDCS,OSGB36,476940,331274,0.24,unknown ownership,yes,permissioned,outline planning permission,09/05/2016,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRMO6SKO00G00,,1,One two-bedroomed dormer bungalow with parking for 2 cars,,,,,,,Ownership unknown by organisation; current use is domestic at the time of application; last use was garden; checked on google; site has one dwelling.,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,08/00703/OUT,,26 Chuch Lane; Long Clawson,https://arcg.is/1CDCS,OSGB36,472341,327405,0.26,unknown ownership,yes,permissioned,outline planning permission,17/10/2008,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=K5Y2ZCKO00K00&activeTab=summary,,4,Demolition of existing bungalow; development of site to include 4 residential properties and improvements to site access road.,,,,,,,Ownership unknown by organisation; demolition of existing bungalow in application; brownfield,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,17/00784/FUL,,1 Old Mill House; Branston Road; Eaton,https://arcg.is/1CDCS,OSGB36,480230,329111,0.27,unknown ownership,yes,permissioned,full planning permission,23/10/2017,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORY4NCKOJGH00,,1,Conversion of an existing stable block to single dwelling,,,,,,,Ownership unknown by organisation; stables considered PDL under various case laws and appeals,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,16/00931/FUL,,War Memorial Hospital; Ankle Hill; Melton Mowbray,https://arcg.is/1CDCS,OSGB36,475284,318540,0.3,unknown ownership,yes,permissioned,full planning permission,13/04/2017,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OI2NF2KOIEW00,,6,Application for 6 private dwelling houses.,,,,,,,Ownership unknown by organisation,31/12/2017,31/12/2017,,,,,,,,,,,duplicates
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,15/00889/FUL,,The Spinney; Thorpe Satchville Road; Kirby Bellars,https://arcg.is/1CDCS,OSGB36,472326,315040,0.33,unknown ownership,yes,permissioned,full planning permission,04/01/2016,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=NXG237KOGQ900&activeTab=summary,,1,Replacement dwelling.,,,,,,,Ownership unknown by organisation,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/023/15,,The Rectory; 1 Boyers Orchard; Harby,https://arcg.is/1CDCS,OSGB36,474749,331206,0.34,unknown ownership,,not permissioned,,,,,11,,,,,,,,Unknown ownership; residential and leisure in SHLAA 2016; keep,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,14/00496/FUL,,81 Burton Road; Melton Mowbray,https://arcg.is/1CDCS,OSGB36,475919,317852,0.34,unknown ownership,yes,permissioned,full planning permission,06/02/2015,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N79HT3KO00G00,,9,"Removal of existing building (contains 5 flats) + felling of 6 trees / 2 shrubs under group TPO. Erection of 9 new dwellings (2 x semi-detached pairs + 5 x detached); with new
access to be formed from Burton Road.",,,,,,,Ownership unknown by organisation,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,16/00202/FUL,,Ashby Folville Lodge; Folville Street/Station Road; Ashby Folville,https://arcg.is/1CDCS,OSGB36,470329,312069,0.34,unknown ownership,yes,permissioned,full planning permission,27/05/2016,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=O4JM09KO0FP00&activeTab=summary,,2,Conversion; remodelling and extension of single residential dwelling into two separate residential dwellings. Part demolition required to separate building.,,,,,,,Ownership unknown by organisation,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,15/00357/FUL,,33 Fair Acre; Paradise Lane; Old Dalby,https://arcg.is/1CDCS,OSGB36,467546,323841,0.36,unknown ownership,yes,permissioned,full planning permission,01/07/2015,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=NO6SVMKO00K00&activeTab=summary,,4,Demolition of existing 4 bed property and separate garage and the construction of new 4 bed property and connected garage and car port.,,,,,,,Ownership unknown by organisation,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,16/00622/FUL,,Paradise Lodge; 44 Main Road; Old Dalby,https://arcg.is/1CDCS,OSGB36,467584,323904,0.37,unknown ownership,yes,permissioned,full planning permission,14/11/2016,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OD530YKO0FP00,,1,Proposed replacement dwelling and removal of trees.,,,,,,,Ownership unknown by organisation,31/12/2017,31/12/2017,,,,,,,,,,,
