OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeForm,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReferences,Easting,Northing
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR1,,"Old Hall Caravan Park, Langthorpe",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR1,ETRS89,-1.405267,54.101492,3.02,Not owned by a public authority,Yes,Not permissioned,,,,,67,Erection of a minimum of 67 dwellings,,,,,,,Proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018),04/10/2017,04/10/2017,B10,438988.23,467452.33
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR2,,"Land at the Bungalow, Boroughbridge",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR2,ETRS89,-1.397657,54.087998,0.33,Not owned by a public authority,Yes,Not permissioned,,,,,10,Erection of a minimum of 10 dwellings,,,,,,,Proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018),04/10/2017,04/10/2017,B11,439498.62,465955.18
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR3,,"Land north of Milby Cut, Boroughbridge",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR3,ETRS89,-1.392777,54.09986,5.54,Not owned by a public authority,,Not permissioned,,,,,166,Erection of a minimum of 166 dwellings,,,,,,,,04/10/2017,04/10/2017,B15,439806.52,467277.74
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR4,,"Riverside Sawmills, Valuation Lane, Boroughbridge",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR4,ETRS89,-1.400477,54.09644,4.4,Not owned by a public authority,Yes,Permissioned,Full planning permission,19/01/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NDSYHZHY64000,,85,"Demolition of buildings and erection of 84 dwellings with garaging, conversion of barn to form 1 dwelling and formation of new vehicle accesses and associated landscaping.",,,,,,,,04/10/2017,04/10/2017,B16|14/04315,439306.2,466892.89
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR5,,"Alfred Hymas site, 1 Copgrove Road, Burton Leonard",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR5,ETRS89,-1.499522,54.068594,1.12,Not owned by a public authority,,Pending decision,,,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OKYQOBHYKRX00,,23,Erection of 23 houses,,,,,,,"Current planning application is for full planning permission, proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018).",04/10/2017,04/10/2017,BL9|17/00525,432850.67,463744.32
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR6,,"Nidd Valley Saw Mills, Dacre Banks",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR6,ETRS89,-1.696291,54.05692,1.44,Not owned by a public authority,,Not permissioned,,,,,43,Erection of a minimum of 43 dwellings,,,,,,,,04/10/2017,04/10/2017,DB4,419979.05,462372.21
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR7,,"Topseal Systems, Hookstone Chase Industrial Estate, 108 Hookstone Chase, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR7,ETRS89,-1.495354,53.991368,0.25,Not owned by a public authority,Yes,Pending decision,,,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OHD3Y2HYKAG00,,9,Demolition of Existing B Class premises and residential development of 9 dwellings,,,,,,,Current planning application is for outline permission,04/10/2017,04/10/2017,H15|16/05201,433184.62,455153.87
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR8,,"Heath Lodge Care Home, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR8,ETRS89,-1.551779,53.982687,0.38,Not owned by a public authority,Yes,Not permissioned,,,,,11,Erection of a minimum of 11 dwellings,,,,,,,Proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018).,04/10/2017,04/10/2017,H17,429491.28,454163.08
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR9,,"Greenfield Court, 42 Wetherby Road, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR9,ETRS89,-1.513268,53.990074,0.95,Not owned by a public authority,Yes,Not permissioned,,,,,25,Erection of a minimum of 25 dwellings,,,,,,,Proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018).,04/10/2017,04/10/2017,H18,432011.14,455001.63
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR10,,"Land adjacent to Prince of Wales Mansions, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR10,ETRS89,-1.538462,53.987844,0.25,Not owned by a public authority,,Not permissioned,,,,,7,Erection of a minimum of 7 dwellings ,,,,,,,,04/10/2017,04/10/2017,H30,430360.88,454742.49
