OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P12/S1424/FUL,,Townlands Hospital York Road HENLEY-ON-THAMES RG9 2EB,,,475747,182795,2.40,not owned by a public authority,yes,permissioned,full planning permission,19 March 2013,"P15/S2956/FUL (Proposed amendments to the approved scheme ( P12/S1424/FUL), in relation to the assisted living units and associated car parking, landscaping, open space, infrastructure and access works) - approved March 2016.",,97,"Proposed health and social well being campus comprising conversion and demolition of existing hospital buildings, structures and walls, and redevelopment of the site to provide replacement 18 bed community hospital, 12 bed palliative care facility, 64 no.bed care home, 45 assisted living units and key worker apartments",,,,,,,"The amended scheme (P15/S2956/FUL) results in an additional assisted unit, therefore the proposal includes a 64 bed care home, 34 assisted living units and 12 key worker apartments which totals 110 units overall. However, a care home (Use Class C2) is calculated as 80% of the total (therefore 0.8*64=51). Therefore the overall capacity is 46+51=97.",22 December 2017,,2.40
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,"P15/S1880/O
(SHELAA: 184)",,Didcot A,,,451174,191220,9.70,not owned by a public authority,yes,pending decision,outline planning permission,Resolution to grant permission at committee: 10 August 2016,,,280,Mixed use redevelopment comprising up to 400 dwellings (120 of which are in Vale of White Horse),,,,,,,Minimum net dwellings is based on the planning application(P15/S1880/O) as it has a resolution to grant permission. Only the dwellings within South Oxfordshire have been included in the total.,22 December 2017,,9.70
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P15/S2685/FUL,,"Woodcote NDP Site 16: Former Reservoir site, Greenmore",,,464704,181342,0.45,not owned by a public authority,yes,permissioned,full planning permission,03 May 2017,P17/S4336/FUL - Demolition & clearance of existing development. Change of use of the land to a park home site & the development of all associated infrastructure to allow the siting of 16 residential park homes with landscaping - pending consideration.,,20,"Erection of 20 new dwellings and formation of new access, driveway and parking including the demolition of the pump house",,,,,,,Partially Brownfield site. Forms part of a larger site overall.,22 December 2017,,0.01
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S0375/FUL,,"Woodcote NDP Site 02: Woodcote Garden Centre, Reading Road",,,464903,182152,0.24,not owned by a public authority,yes,permissioned,full planning permission,29 June 2017,,,9,Demolition of existing garden centre structures and erection of 9 new dwellings,,,,,,,Partially Brownfield site. Forms part of a larger site overall.,22 December 2017,,0.06
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S1227/FUL,,JHHNDP Site U: Wilkins Yard Deanfield Avenue HENLEY-ON-THAMES Oxon RG9 1UE,,,475799,182380,0.23,not owned by a public authority,yes,permissioned,full planning permission,30 May 2017,,,23,Demolition of existing depository and offices and erection of 14 open market and 9 affordable flats,,,,,,,Partially Brownfield site. Forms part of a larger site overall.,22 December 2017,,0.15
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,"P16/S3922/FUL
(SHELAA 200)",,"Atalanta Garage, Beggars bush Hill, Benson  OX10 6PL",,,463953,190162,0.33,not owned by a public authority,yes,permissioned,full planning permission,28 April 2017,"P15/S4369/FUL - Demolition of garages, workshop and offices and replacement with two detached houses and a terrace of three houses - approved March 2016.  P16/S2592/FUL - Demolition of garages, workshops and offices and replacement with two detached houses and a terrace of three houses - approved October 2016.",,6,"Demolition of garages, workshops and offices and replaced with six dwellings with car parking",,,,,,,,22 December 2017,,0.33
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S4117/FUL,,"40 Oakley Road, Chinnor, Oxon, OX39 4ES",,,475084,200556,0.18,not owned by a public authority,yes,permissioned,full planning permission,3rd April 2017,P15/S1501/PDO - Prior approval for change of use of existing office building to residential provide to provide 12 flats - agreed June 2015.     P15/S3559/FUL - Roof conversion to create an additional floor to accommodate six residential units (Use Class C3) - approved September 2016.  P16/S4085/PDO - Prior Notification requirement under Part O of the GPDO for the change of use of offices (Class B1a) to form 14 apartments - agreed February 2017.,,20,Convert the existing roof void to create six new flats,,,,,,,The minimum number of net dwellings is 20 as it is based on both a prior approval and a permission. The prior approval relates to the change of use of the building to 14 apartments (P16/S4085/PDO) and the permission relates to the conversion of the roof into six flats (P16/S4117/FUL). The two schemes can both be built out on the site.,22 December 2017,,0.18
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,"P16/S4177/FUL
(SHELAA 401)",,"Bloom Buildings, West End, Cholsey, OX10 9LR",,,458080,185924,0.68,not owned by a public authority,yes,permissioned,full planning permission,19 May 2017,,,5,Demolition of a range of existing B8 storage buildings and the erection of five dwellings,,,,,,,,22 December 2017,,0.68
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S4234/FUL,,"Northfield House, 11 Northfield End, HENLEY-ON-THAMES, RG9 2JG",,,476024,182995,0.10,not owned by a public authority,yes,permissioned,full planning permission,24 May 2017,,,6,Change of use from office to six two-bedroom flats,,,,,,,,22 December 2017,,0.10
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S0259/FUL,,The Mill at Sonning (Theatre) Ltd Sonning Eye  RG4 6TY,,,475388,175784,0.86,not owned by a public authority,yes,permissioned,full planning permission,27 June 2017,,,5,Demolition of existing garages and ancillary structures; conversion of third & fourth floors of Mill building to form three apartments with related works on other floors; conversion of rehearsal/ accommodation building to form two dwellings; and all associated works.,,,,,,,Partially Brownfield site. Forms part of a larger site overall.,22 December 2017,,0.53
