OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,EASTING,NORTHING,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3,PlanningAuthority,SOURCE,STATUS
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,AAP Site 7,,"""Christchurch Avenue, Harrow Leisure Centre & former Driving Centre site""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.32563,51.592452,516077.00,189517.00,5.76,Public Ownership,Yes,not permissioned,,,,,180,"Allocated site for mixed use development, including reprovision of leisure centre, bowls facilities, Harrow School of Gymnastics, car parking and residential.",Class D1 (leisure) & sui generis (car parking),,,,,,Site known as Byron Quarter,,,,,,Harrow,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,AAP Site 9,,"""Station Road, Civic Centre"" ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.33439,51.589667,515484.00,189181.00,4.68,Public Ownership,Yes,not permissioned,,,,,250,"Allocated site for a residential led, mixed use urban quarter. The project involves demolishing all of the existing buildings and delivering about 850 new homes across a range of tenures (including at least 200 build-to-rent units to be retained by the council), a new school, commercial and community space, and high quality public realm and landscaping.",Class D1 (school) and commercial and community uses,,,,,,Site known as Poets' Corner,,,,,,Harrow,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,Site Allocations H15,,"""Bacon Lane, Hill's Yard""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.275029,51.604852,519559.00,190961.00,0.26,Not in public ownership,Yes,not permissioned,,,,,28,Allocated site suitable for residential use,,,,,,,Pre-App received 26/7/17 (P/3579/17/PREAPP),,,,,,Harrow,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,AAP Site 13,,"""Greenhill Way, Car Park South""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.332832,51.583278,515607.00,188483.00,0.89,Public Ownership,Yes,not permissioned,,,,,90,"Allocated site which is designated for mixed use in the Harrow and Wealdstone Area Action Plan. The council has already completed a comprehensive feasibility study which considered a range of options around high quality, commercial and residential development; including homes, offices, retail, hotel and leisure. The council is currently committed to retaining a significant proportion of parking provision on site.",,,,,,,,,,,,,Harrow,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,Site Allocations R3,,"""Northolt Road, Roxeth Library & Clinic""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.357072,51.562481,513987.00,186127.00,0.53,Public Ownership,Yes,not permissioned,,,,,26,"Allocated site. The redevelopment of Roxeth Library presents an exciting opportunity to create a transformative and inclusive facility for the local community, alongside new housing for the people of Harrow. It presents a chance to establish a distinctive sense of place for the library on the high street with a generous and high quality public setting that encourages social interaction and boosts the perception of the local high street and South Harrow Town Centre.",Class D1 (library and health use),,,,,,,,,,,,Harrow,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,Site Allocations H6,,"""Rayners Lane/High Worple, Rayners Lane Station car park""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.372178,51.575022,512842.00,187505.00,0.80,Public Ownership,Yes,not permissioned,,,,,50,Allocated site suitable for partial residential development with retention of an appropriate amount of station car parking to help meet demand generated by commuters,Sui Generis (car park),,,,,,,,,,,,Harrow,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,Site Allocations H10,,"""London Road, Stanmore Station car park""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.301375,51.61893,517713.00,192418.00,1.45,Public Ownership,Yes,not permissioned,,,,,44,Allocated site suitable for partial residential development with retention of an appropriate amount of station car parking to help meet demand generated by commuters and in connection with major events at Wembley Stadium,Sui Generis (car park),,,,,,,,,,,,Harrow,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,Site Allocations H17,,"""Donnefield Avenue, Canons Park Station car park""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.294739,51.609249,518180.00,191406.00,0.42,Public Ownership,Yes,not permissioned,,,,,17,Allocated site suitable for partial residential development with retention of an appropriate amount of station car parking to help meet demand generated by commuters and in connection with major events at Wembley Stadium,Sui Generis (car park),,,,,,,,,,,,Harrow,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council, P/1619/16,,5-11 & 37-41 Palmerston Road and 27-33 & land adj 47 Masons Avenue,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.333262,51.592963,515548.00,189553.00,0.67,Not in public ownership,Yes,pending decision,,,,,186,"Redevelopment of the site to provide 186 residential units (Use Class C3); 1,165sqm office floorspace (Use Class B1) and 695sqm flexible commercial and community floorspace (Use Classes A1, B1, D1, D2) in buildings between 1 and 17 storeys in height; basement to provide car parking and cycle parking spaces; one vehicle access from Palmerston Road and one vehicle access from Masons Avenue; refuse storage; entrance gates; public realm and landscaping; photo-voltaic panels; demolition of existing buildings.","Class B1 1165 sq mtrs,  flexible commercial and community floorspace (Use Classes
A1, B1, D1, D2) 695 sq mtrs",,,,,,Approved by Mayor of London at Hearing on 10/3/17 ,,,,,,Harrow,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,17150212,,"Travis Perkins, Palmerston Road",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.332509,51.593556,515602.00,189618.00,0.26,Not in public ownership,Yes,not permissioned,,,,,68,"Part of allocated site AAP06. Suitable for mixed use, perhaps 60% residential and 40% employment use.",B1/B2/B8,,,,,,,,,,,,Harrow,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0832/11,,"""Station Road, Tesco store, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.333842,51.585929,515613.00,188725.00,2.21,Not in public ownership,Yes,permissioned,full planning permission,2012-03-30,,,14,Two storey extension to front side and rear of store; decked car park at first floor level over existing car park; new four storey building to provide four mixed use units of retail/financial and professional services/ food & drink uses (Class A1/A2/A3) at ground floor and 14 flats above fronting Station Road; landscaping and external alterations to existing building and car park layout,"Class A1 11400 sq mtrs, Classes A2-A3 292 sq mtrs",,,,,,,,,,,,Harrow,LDD,LAPSED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/1870/13,,"""Lyon Road, Congress House, 1st - 6th Floors"" ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.333132,51.580257,515603.00,188125.00,0.36,Not in public ownership,Yes,permissioned,planning permission granted under an order,2013-08-21,,,54,Conversion of offices (Class B1a) on floors 1 to 6 to fifty four self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,LAPSED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4042/13,,"""College Road, 15, College House, Floors 1-5, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.3347,51.579778,515485.00,188092.00,0.05,Not in public ownership,Yes,permissioned,planning permission granted under an order,2014-02-07,,,26,Conversion of offices (Class B1a) on floors 1 to 5 to 26 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,LAPSED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3518/13,,"""Herga Road, 12-22, Interphone House, Wealdstone""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.332791,51.591778,515588.00,189422.00,0.08,Not in public ownership,Yes,permissioned,planning permission granted under an order,2013-12-23,,,31,Conversion of offices (Class B1a) to 31 self-contained flats (Class C3),,,,,,,,,,,,,Harrow,LDD,LAPSED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2571/13,,"""Lowlands Road, 43-51, Intershop House, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.339112,51.579382,515183.00,188035.00,0.13,Not in public ownership,Yes,permissioned,planning permission granted under an order,2013-10-04,,,28,Conversion of offices (Class B1A) to 28 self-contained flats (Class C3) (Prior Approval),,,,,,,,,,,,,Harrow,LDD,LAPSED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,17150151,,"""Waxwell Lane, car park, Pinner""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.383776,51.595819,512040.00,189791.00,0.35,Public Ownership,Yes,not permissioned,,,,,34,Building a Better Harrow Regeneration site: Waxwell Lane car park in Pinner has been identified as a potential development project as part of Harrow’s ‘build-to-rent’ programme. ,,,,,,,,,,,,,Harrow,SHLAA,Potential Development
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0607/15,,"""Kymberley Road, Queens House, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.338524,51.580777,515222.00,188185.00,0.08,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-04-09,,,200,Conversion of offices (Class B1a) to 200 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,STARTED
