OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Site Information,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000242,East Herts Council,BR/01,,"Bishop's Stortford High School Site, London Road,  Bishop's Stortford, CM23 3LU",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"549,002.20","219,746.30",2.69ha,Not owned by a public authority,No,Not permissioned,,,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,150,,,,,,,,"The Bishop’s Stortford High School site has been allocated in the emerging East Herts District Plan, under Policy BISH6. This site will only be released for development if sufficient secondary school capacity is provided within the Bishop’s Stortford South site (BISH5), also allocated in the East Herts District Plan. Only part of the whole site is brownfield.",31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000243,East Herts Council,BR/02,,"The Goods Yard, Station Road, Bishop's Stortford, CM23 3BL",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"549,124.50","220,749.10",6.64ha,Not owned by a public authority,Yes,Pending decision,Outline Planning Permission,,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,600,Mixed-Use Development,Office Floorspace and Retail Provision,,,,,,"The Goods Yard site has been allocated in the emerging East Herts District Plan, under Policy BISH7. ",31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000244,East Herts Council,BR/03,,"Old River Lane, The Causeway, Bishop's Stortford, CM23 2EN",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"548,840.40","221,498.30",1.68ha,Owned by a public authority,Yes,Not permissioned,,,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,100,,"Office Floorspace, Retail Provision, Community and Leisure Uses",,,,,,"The Old River Lane site has been allocated in the emerging East Herts District Plan, under Policy BISH8.",31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000245,East Herts Council,BR/04,,"The Mill Site, Dane Street, Bishop's Stortford, CM23 3XZ",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"549,025.60","221,134.20",1.48ha,Not owned by a public authority,No,Not permissioned,,,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,,,"Office Floorspace, Commercial Uses and Leisure Uses",,,,,,"The Mill Site has been allocated in the emerging East Herts District Plan, under Policy BISH10. A housing allocation has not been given for this site, as currently the site is still in employment use. The site will remain a designated employment area, until such time that the land becomes available for redevelopment.",31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000246,East Herts Council,BR/05,,"8 & 10 Rye Street, Bishop's Stortford, CM23 2HG",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"548,725.90","221,816.50",0.11ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,23/07/2015,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,7,"Demolition of existing buildings and closure of vehicular access to Rye Street, erection of a terrace of 7 dwellings with car parking, accessed from Bryan Road and pedestrian access only to Rye Street. ",,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000247,East Herts Council,BR/06,,"Millars One, Southmill Road, Bishop's Stortford, CM23 3DH",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"549,076.00","220,666.70",0.04ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,06/07/2017,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,6,Change of use of first floor gymnasium (D2) to residential (C3) to create 6no. 1 bed dwellings.,,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000248,East Herts Council,BR/07,,"Thorley Place, Thorley Lane East, Bishop's Stortford, CM23 4BH",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"547,512.50","219,435.60",0.04ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,08/04/2016,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,5,Subdivision of existing dwelling into 5 dwellings and new garages,,,,,,,Only part of the whole site is brownfield.,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000249,East Herts Council,BR/08,,"First and Second Floors, 42 North Street, Bishop's Stortford, CM23 2LR",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"548,687.70","221,562.70",0.02ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,09/11/2016,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,5,"Extensions and alterations to building to facilitate change of use of Hairdresser/Beautician Salon into 4no 1 bedroomed flats and 1no 2 bedroomed flat, formation of new ground floor retail unit.",Ground Floor Retail Unit,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000251,East Herts Council,BR/09,,"Mead Lane Area, Mead Lane, Hertford, SG13 7AJ",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"533,273.30","213,219.60",4.18ha,Not owned by a public authority,Yes,Not permissioned,,,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,200,Mixed-Use Development,"3,000 square metres of B1 Floorspace",,,,,,"The Mead Lane Area has been allocated in the emerging East Herts District Plan, under HERT2. ",31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000252,East Herts Council,BR/10,,"Land North of Hertford (Nursery Site), Sacombe Road, Hertford, SG14 3DX",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"532,339.30","214,246.10",1.13ha,Not owned by a public authority,Yes,Not permissioned,,,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,50,,,,,,,,The Bengeo Nursery Site has been allocated as part of the site allocation policy HERT4 in the emerging East Herts District Plan. This part of the allocation will deliver 50 homes. Only part of the whole site is brownfield.,31/12/2017,31/12/2017
