OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AdditionReference,MI_PRINX
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/11/0558PP,,"""Alderholt Surplus Stores, Daggons Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.839424997,50.91241845,3.32,not owned by a public authority,yes,permissioned,reserved matters approval,24/03/2015,http://planning.christchurchandeastdorset.gov.uk/plandisp.aspx?recno=46322,,89,"""The Reserved Matters pursuant to outline planning permission ref 3/06/0769/OUT, namely Appearance, Scale and Landscaping, along with a scheme to accommodate bats, in connection with the erection of 89 dwellings and associated works""",,,,,,,,05/12/2017,05/12/2017,3/11/0558,7
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/14/1233PP,,"""Marks Yard, Victoria Road, Wimborne""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.992788945,50.80028797,0.2,not owned by a public authority,yes,permissioned,outline planning permission,13/07/2015,http://planning.christchurchandeastdorset.gov.uk/plandisp.aspx?recno=87909,,10,"""Erection of 10 dwellings with associated parking""",,,,,,,,05/12/2017,05/12/2017,3/14/1233,8
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/15/1046PP,,"""Walford Bridge Garage, Wimborne Road """,https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.987979903,50.8047194,0.2,not owned by a public authority,yes,permissioned,full planning permission,22/12/2016,http://planning.christchurchandeastdorset.gov.uk/plandisp.aspx?recno=88640,,27,"""Demolition of existing open air car sales and motor repair workshop and erection of 27 sheltered apartments for the elderly""",,,,,,,,05/12/2017,05/12/2017,3/15/1046,9
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/12/0900PP,,"""Stapehill Church Site Wimborne Road West Stapehill Wimborne""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.940777687,50.8013518,0.09,not owned by a public authority,yes,permissioned,full planning permission,10/01/2013,http://planning.christchurchandeastdorset.gov.uk/plandisp.aspx?recno=96503,,6,"""Change of Use From Place of Worship to Residential and Construct Block of Six Flats""",,,,,,,,05/12/2017,05/12/2017,3/12/0900,10
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/14/0488PP,,"""Peveril House 382 - 388 Ringwood Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.890518407,50.80060045,0.19,mixed ownership,yes,permissioned,other,09/07/2014,http://planning.christchurchandeastdorset.gov.uk/plandisp.aspx?recno=96849,,24,"""Prior Approval for Change of Use from Offices (B1) to Residential Comprising of 24 x One Bedroom Apartments """,Ground floor uses below this change of use are class A retail,,,,,,,05/12/2017,05/12/2017,3/14/0488,11
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/14/0871PP,,"""St Leonards Hospital""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.859239944,50.81745189,13.8,owned by a public authority,yes,permissioned,full planning permission,23/12/2015,http://planning.christchurchandeastdorset.gov.uk/plandisp.aspx?recno=90965,,207,"""demolition of existing buildings and redevelopment to provide 210 dwellings""",,,,,,,,05/12/2017,05/12/2017,3/14/0871,12
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/03/0396,,"""26 - 32 Canford Bottom, Colehill""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.941511611,50.80331109,0.83,not owned by a public authority,,not permissioned,,,,,35,"""Developability of this site will depend on the viability of the existing uses. Theoretical density (90% of site at 60 DPH) = 45. Given edge of Green Belt location assume 35.""",,,,,,,,05/12/2017,05/12/2017,3/03/0396,13
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/04/0009,,"""Dorset Soldier PH, Wareham Road, Corfe Mullen""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-2.019819972,50.76741265,0.27,not owned by a public authority,yes,not permissioned,,,,,12,"""Assessed potential of up to 12 dwellings which is realistic for a flatted scheme.""",,,,,,,Site submitted by landowner as part of Local Plan Review 2017,05/12/2017,05/12/2017,3/04/0009,14
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/07/0476,,"""554 Wimborne Road East, Ferndown""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.891689093,50.80847816,0.3,not owned by a public authority,,not permissioned,,,,,20,"""Potential assessed for 20 flats""",,,,,,,"""Garage site has potential for re-development, subject to the viability of the business.  However, conversion to flats of the adjacent property suggests some likelihood that it will happen."" ",05/12/2017,05/12/2017,3/07/0476,15
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/22/0670,,"""Verwood Industrial Estate, Black Hill, Verwood""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.86808434,50.87750138,2.3,not owned by a public authority,,not permissioned,,,,,25,"""Approximately 25 dwellings.""",,,,,,,"""This site is occupied by the Blackhill Industrial Estate and the adjacent builder's supplies depot. It is unlikely that the industrial estate will come forward for redevelopment in the near future. There is a greater likelihood is the builders merchants""",05/12/2017,05/12/2017,3/22/0670,16
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/25/0416,,"""Northern Portion Flight Refuelling Site, Brook Road, Wimborne""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.96947459,50.7973188,1.81,not owned by a public authority,,not permissioned,,,,,50,"""Approximately 50 dwellings.""",,,,,,,"""Landowner has also expressed an interest in releasing the land for housing or a foodstore. There is a current live application for additional parking so consider only 50% of the site available for housing currently so approximately 50 dwellings.""",05/12/2017,05/12/2017,3/25/0416,17
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/25/0423,,"""Wimborne Market, Station Terrace, Wimborne""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.977009474,50.79671076,1.95,not owned by a public authority,,not permissioned,,,,,100,"""A well located site with excellent links to the town centre and transport links. However the landowner has expressed viability issues in the current economic climate.""",,,,,,,,05/12/2017,05/12/2017,3/25/0423,18
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/25/0438,,"""British Legion Club, West Borough, Wimborne""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.989381628,50.8010978,0.1,not owned by a public authority,,not permissioned,,,,,20,"""Potential for complete redevelopment of site for flats or mews cottages""",,,,,,,,05/12/2017,05/12/2017,3/25/0438,19
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/25/0477,,"""46-54 Leigh Road, Wimborne""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.981404769,50.79779849,0.06,not owned by a public authority,yes,not permissioned,,,,,6,"""Potential for a number of units on this site close to the town centre if the business were to relocate.""",,,,,,,,05/12/2017,05/12/2017,3/25/0477,20
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/03/0095,,"""East Dorset Council Offices, Furzehill""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.982992041,50.81685752,1.46,owned by a public authority,yes,not permissioned,,,,,24,"""The Furzehill Council Offices were considered surplus to requirements following the partnership working between Christchurch and East Dorset Councils.""",,,,,,,,05/12/2017,05/12/2017,3/03/0095,21
