OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EASTING,NORTHING
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2014/1977,,Land rear of 24 Great North Road London N6 4LU,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=274687,ETRS89,-0.158466,51.583387,0.02,not owned by a public authority,yes,permissioned,full planning permission,18/09/2014,,,1,"Demolition of existing outbuilding, and construction of single storey one bedroom dwelling with basement",,,,,,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=274687,,"Dec 31, 2017","Dec 31, 2017",527687,188779
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2014/2342,,"Land at rear of 41, Mount View Road London N4 4SS ",http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=275596,ETRS89,-0.11772,51.575676,0.04,not owned by a public authority,yes,permissioned,full planning permission,20/10/2014,,,2,Provision of 2 new semi-detached dwellings,,,,,,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=275596,,"Dec 31, 2017","Dec 31, 2017",530533,187988
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2014/0484,,159 Tottenham Lane London N8 9BT,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=272263,ETRS89,-0.119676,51.581823,0.16,not owned by a public authority,yes,permissioned,full planning permission,31/10/2014,,,18,Erection of a part 4 / part 5 storey building to contain retail development on the ground floor consisting of 422sq.m of A1 use and 218sq.m of A3 use with 18 residential units on the upper floors,422sqm A1 and 218sqm A3,,,,,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=272263,,"Dec 31, 2017","Dec 31, 2017",530376,188670
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2014/1591,,Land Between 41-43 Rectory Gardens London N8 7PJ,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=274015,ETRS89,-0.121501,51.588734,0.02,not owned by a public authority,yes,permissioned,full planning permission,15/09/2014,,,1,Demolition of existing garages and erection of part single/part two storey two bedroom single dwelling house,,,,,,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=274015,,"Dec 31, 2017","Dec 31, 2017",530232,189441
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2013/1538,,4-8 Dorset Road London N15 5AJ London,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=269314,ETRS89,-0.083257,51.586112,0.04,not owned by a public authority,yes,permissioned,full planning permission,24/06/2016,,,5,"Erection of 2 storey block with rear dormers and roof terrace comprising 1 x 3 bed flat, 1 x 2 bed flat, 2 x 1 bed flats and 1 x studio flat.",,,,,,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=269314,,"Dec 31, 2017","Dec 31, 2017",532887,189212
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2015/3729,,St Anns Road Police Station 289 St Anns Road London N15 5RD,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=286447,ETRS89,-0.086531,51.58073,0.21,owned by a public authority,yes,permissioned,full planning permission,31/03/2016,,,28,"Demolition of extensions and outbuildings, the conversion of the former police station, and the construction of new residential buildings to provide 28 x 1, 2, 3 and 4 bedroom dwelling units, parking provision, cycle and refuse storage.",,,,,,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=286447,,"Dec 31, 2017","Dec 31, 2017",532685,188634
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2015/2517,,191-201 Archway Road London N6 5BN,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=283951,ETRS89,-0.141762,51.573729,0.14,not owned by a public authority,yes,permissioned,full planning permission,31/03/2016,,,25,"Erection of building behind retained Archway Road facade and fronting Causton Road to provide 25 residential dwellings (Class C3) at basement, ground, first, second, third floor level, including retention of existing facade fronting Archway Road and side return wall on Causton Road.  Demolition of all existing buildings to the rear. Retention of retail floor space unit at ground floor level (Class A1). Change of use or part ground floor and part basement from retail (Class A1) to Class B1 use.  Provision of associated residential amenity space, landscaping and car parking.",A1 and B1 floorspace (see PP),,,,,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=283951,,"Dec 31, 2017","Dec 31, 2017",528880,187722
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2015/1696,,Site rear of 115 Fortis Green London N2 9HW,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=282372,ETRS89,-0.15421,51.590522,0.04,not owned by a public authority,yes,permissioned,full planning permission,06/11/2015,,,3,Demolition of existing single story outbuildings and redevelopment of the site to provide 3 x three storey dwellinghouses,,,,,,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=282372,,"Dec 31, 2017","Dec 31, 2017",527960,189579
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2014/3526,,42 Park Road London N15 3HR,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=278332,ETRS89,-0.099093,51.585605,0.01,not owned by a public authority,yes,permissioned,full planning permission,04/08/2015,,,2,Change of use from lock up garages and storage yard to residential use and erection of 2 x one bedroom bungalows,,,,,,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=278332,,"Dec 31, 2017","Dec 31, 2017",531791,189133
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2015/1071,,Rear of 74A Manor Road London N17 0JJ,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=280788,ETRS89,-0.059284,51.601513,0.01,not owned by a public authority,yes,permissioned,full planning permission,14/12/2015,,,2,Erection of 2 x 2 bed houses,,,,,,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=280788,,"Dec 31, 2017","Dec 31, 2017",534503,190970
