Organisation URI,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date,Alternative References,Owners,Housing Delivery Estimate,Site status,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/AYL/001,,"""Aegel House, Burgh Rd, Aylsham, NR116AS""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20130715,OSGB36,619959,326643,0.8,Owned by a public authority,Yes,Permissioned,Outline planning permission,2013-11-18,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,22,Demolition of Former Care Home and Erection of 22 No. Residential Dwellings (Outline),,,,,,,"""Outline permission 20130715 Reserved matters application 20161711 """,2017-12-31,2017-12-31,,Understood to be owned by Norfolk County Council / Norse Care Ltd,2017-2019,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/AYL/002,,"""The Old Mill, Dunkirk, Aylsham""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20151963,OSGB36,620030,327568,0.3,Not owned by a public authority,Yes,Permissioned,Full planning permission,2016-03-31,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,6,Re-Development of Existing Commercial Use Building & Old Mill Building into 6 Residential Units,,,,,,,"""Full permission 20151963""",2017-12-31,2017-12-31,,Understood to be owned by Estate of Peter Williamson c/o SMG Architects,2018-2021,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/COL/001,,"""Land at Jordan's, Station Rd, Coltishall""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CCOL2,OSGB36,626864,320100,1.8,Not owned by a public authority,Yes,Not permissioned,,,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,25,Residential development of 25-30 dwellings ,,,,,,,"""Allocated for 25 - 30 homes in Site Allocations DPD (policy COL2)""",2017-12-31,2017-12-31,COL2,Understood to be owned by Jordan family,2019-2020,No permission,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/DRA/001,,"""Land east of School Road, Drayton""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CDRA2,OSGB36,618149,313629,0.8,Not owned by a public authority,,Not permissioned,,,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,20,Mixed commercial / community and residential ,Commercial uses including retail and B1 business and /or community facilities D1 use,,,,,,"""Allocated for commercial / community and residential development of approx 20 dwellings in Site Allocations DPD (policy DRA2)""",2017-12-31,2017-12-31,DRA2,Not known,2022-2023,No permission,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/GLP/001,,"""Land at former Little Plumstead Hospital, Hospital Rd, Great and Little Plumstead""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20130906,OSGB36,630676,310735,9.7,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,2016-10-24,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,109,Residential - reserved matters for 88 dwellings,,,,,,,"""Outline permission 20130906 (109 dwellings, site for enlargement of primary school, community facilities) with reserved matters approval for 88 of these""",2017-12-31,2017-12-31,,Understood to be Cripps Developments Ltd,2017-2020,Started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/HEL/001,,"""Land at Hellesdon Hospital, Drayton High Rd, Hellesdon""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CHEL1,OSGB36,619863,311929,14.7,Owned by a public authority,Yes,Not permissioned,,,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,300,Revelopment of part of hospital site for residential development (approx 300 homes) and B1 employment uses. ,An element of B1 use could be included in the development,,,,,,"""Allocated in Site Allocations DPD (policy HEL1) for residential development (approx 300 homes) and B1 employment use.  Part of the original allocation  (Carrowbreck in north-west of site) has been developed for residential use(14 dwellings)  under permission 20141634""",2017-12-31,2017-12-31,HEL1,Norfolk and Suffolk NHS Foundation Trust,2020-2023,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/HEL/002,,"""Royal Norwich Golf Club, Drayton High Rd, Hellesdon""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CHEL2,OSGB36,620503,311520,45.8,Not owned by a public authority,Yes,Permissioned,Outline planning permission,2016-12-06,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,800,Redevelopment of golf club for residential development (up to 1000 homes) ,Open space and community facilities included within the development,,,,,,"""Allocated in Site Allocations DPD  (policy HEL2) for residential and open space uses; hybrid application (20151770) - outline planning permission given for up to 1000 homes with detail for  part of this ( 108 homes) """,2017-12-31,2017-12-31,HEL2,Understood to be owned by Royal Norwich Golf Club and Persimmon Homes Ltd.,2017-2026,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/HEL/003,,"""Tile House, Eversley Rd, Hellesdon""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20141134,OSGB36,621776,311902,1.8,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,2016-04-29,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,67,Redevelopment of commercial site for residential (67 homes),,,,,,,"""Allocated in Site Allocations DPD (policy HEL5) for residential use (approx 55 homes).  Outline permission 20141134, and reserved matters approval 20152077""",2017-12-31,2017-12-31,HEL5,Understood to be owned by Lovell Partnerships Ltd,2017-2018,Started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/LIN/001,,"""Former Lingwood Primary School, ChapelRd, Lingwood""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20140979,OSGB36,635943,308185,1.2,Owned by a public authority,Yes,Permissioned,Outline planning permission,2015-04-22,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,22,Redevelopment of former school site for residential (22 homes),,,,,,,"""Outline permission (20140979) for redevelopment of site for residential development and retention of existing nursery vbuilding for community use.""",2017-12-31,2017-12-31,,Norfolk County Counicl,2018-2020,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/MOR/001,,"""Offices, Atlas Works, Norwich Rd, Lenwade""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20160525,OSGB36,611650,317653,0.23,Not owned by a public authority,Yes,Permissioned,Full planning permission,2016-05-18,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,22,Change of use from offices to residential ( prior notification),,,,,,,"""Prior Notification (20160525) change of use offices to residential""",2017-12-31,2017-12-31,,Understood to be owned by Serruys Property Co. Ltd.,2018-2021,Not started,
