OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00001,,"402-408 INC, High Road, Wembley, HA9 6AL",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.290867304,51.55391219,0.05,not owned by a public authority,,permissioned,planning permission granted under an order,19/11/2013,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202087166_1,,5,"Conversion of part ground floor, first and second floor office accommodation (Class B1(a)) into six self-contained residential flats (Class C3)",,,5,6,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00002,,"All Units, 117-121 Salusbury Road, London, NW6 6RG",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.206571509,51.53783317,0.19,unknown ownership,Yes,permissioned,planning permission granted under an order,23/12/2013,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_119539|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_113814,,32,"Change of use of existing offices (Use Class B1(a)) to residential (Use class C3) and construction of an additional two storeys to create 32 self-contained flats (1 x studio, 12 x 1 bed, 12 x 2 bed and 7 x 3 bed) and associated landscaping and external alterations, subject to s106 agreement, dated 25/06/2015 (permit-free development)",,,32,32,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00003,,"Ground, First and Second Floor, 328-330 High Road, Wembley, HA9 6AZ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.287413639,51.55366046,0.03,not owned by a public authority,,permissioned,planning permission granted under an order,27/01/2014,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202202726_1,,5,"Prior approval for change of use from office (Use Class B1) to residential (Use Class C3) involving the creation of 4 x 1 bed and 2 x 2 bed flats, subject to a legal agreement dated 27/01/2014 (CAR FREE Development)",,,5,6,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00004,,"Heron House, 109-115 Wembley Hill Road, Wembley, HA9 8DA",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.287560814,51.55726467,0.15,not owned by a public authority,Yes,pending decision,full planning permission,,https://pa.brent.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=DCAPR_82783&activeTab=summary&previousCaseNumber=05%2F2106&keyVal=PROPLPI_202147784_1,,40,"Demolition of the existing office building (Heron House) and the construction of a new four to seven storey mixed use building comprising 829sqm of commercial office space on the ground floor (Use class B1a), 40 self-contained flats (23 x 1bed, 7 x 2bed and 10 x 3bed) on the upper floors, a basement level for car and cycle parking, bin stores and associated landscaping and amenity space",829sqm of commercial office space on the ground floor (Use class B1a),,40,40,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00005,,"Stonebridge Primary School Annexe, Twybridge Way, London, NW10 0ST",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.266283417,51.54272316,0.6,owned by a public authority,Yes,permissioned,full planning permission,07/06/2016,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202085054_1,,55,"Outline planning permission for the demolition of the Former Day Centre and erection of up to 55 units comprising of 15 x houses up to 3-storeys in height (use class C3), one apartment block comprising 5 x 1bed and 7x 2bed flats up to 5-storeys in height (use class C3) and one apartment block comprising 28x 1bed flats up to 5-storeys in height with an element of care (use class C3b) and a new one-way access loop road and on-street parking bays with all matters reserved (as amended)",,,55,55,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00006,,"1 Olympic Way, Wembley, HA9 0NP",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.278971333,51.56199228,0.54,unknown ownership,Yes,pending decision,planning permission granted under an order,,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202060644_1&activeTab=summary&previousCaseUprn=202060644&previousCaseNumber=PROPLPI_202060644_1&keyVal=DCAPR_128190|https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202060644_1&activeTab=summary&previousCaseUprn=202060644&previousCaseNumber=PROPLPI_202060644_1&keyVal=DCAPR_136864,,227,Prior approval for change of use of floors 1-7 and 9-12 from offices (Use class B1) into residential (Use class C3) involving the creation of 68 one-bed flats and 159 studio flats,,,227,227,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00007,,"Mahatma Gandhi House, 34 Wembley Hill Road, Wembley, HA9 8AD",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.285680294,51.55519767,0.29,unknown ownership,Yes,permissioned,full planning permission,29/07/2016,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202032514_1,,198,"Demolition of existing office building and redevelopment to the site to provide a part 10 and part 21 storey building from podium level with 1,416sqm of A1 floorspace and 133sqm of flexible A1, A2 and A3 floorspace on the ground floor and 198 residential units (use class C3) above with car parking, communal and private amenity space, public realm improvements, landscaping and other associated works (revised description), subject to a Deed of Agreement dated 27 July 2016 under Section 106 of the Town and Country Planning Act 1990, as amended","1,416sqm of A1 floorspace and 133sqm of flexible A1, A2 and A3 floorspace on the ground floor",,198,198,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00008,,"Olympic Office Centre, 8 Fulton Road, Wembley, HA9 0NU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.279097776,51.55931014,0.75,unknown ownership,,permissioned,outline planning permission,03/01/2014,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_111933|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_111932|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_114975,,168,"Outline planning permission for the mixed use redevelopment of the car park element of the site including the construction of new buildings and structures to provide a total of 40,000 sq m to provide a range of uses comprising: residential dwellings (Use Class C3), offices (Use Class B1), student accommodation (sui generis), hotel (Use Class C1), retail (Use Class A1/A2/A3/A4/A5) and/or leisure (Use Class D2) and associated car parking, public realm works and associated works and subject to a Deed of Agreement dated 24 December 2013 under Section 106 of the Town and Country Planning Act 1990, as amended","20,000 sq m to provide a range of uses comprising: offices (Use Class B1), student accommodation (sui generis), hotel (Use Class C1), retail (Use Class A1/A2/A3/A4/A5) and/or leisure (Use Class D2)",,168,168,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00009,,"205, 205A, 205B and Church Road car park and Building rear of 189-203 Church Road, London, NW10 9EP",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.249060746,51.54826228,0.3,not owned by a public authority,,permissioned,full planning permission,10/02/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202114352_1,,34,Demolition of 205 Church Road and proposal of new market square to replace Eric Road. Demolition of 3 storey building to the rear of 203 Church Road and proposal of 34 residential dwellings and ground floor non-residential space (class A1/A3/B1/D1).,250 sq m A1,,34,34,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00010,,"Wembley Point, 1 Harrow Road, Wembley, HA9 6DE",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.274157348,51.54464389,0.92,not owned by a public authority,Yes,permissioned,planning permission granted under an order,11/01/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202152983_1,,382,Change of use floors 2nd to 20th (excluding part of 6th and 8th floors) and part of 21st floor from office (Use class B1a) to residential (Use class C3) involving the creation of 382 x studios,,,382,382,,,,15/12/2017,15/12/2017,,,
