OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,Siteplan,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0001,,"Sainsbury's, Roden Street, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0001,WGS84,0.069351,51.556425,1.96,Not owned by a public authority,Yes,Pending decision,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,683,Retail/Employment/Housing,"Retail floorspace: 4,745 sq.m Employment floorspace: 951 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Refused planning application: 4499/15 - Appeal to be heard in Autumn 2017 - Located within Ilford Housing Zone - Local Plan allocation site number: 1,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0002,,"The Exchange Shopping Centre, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0002,WGS84,0.071963,51.560017,2.5,Not owned by a public authority,Yes,Permissioned,Full planning permission,07/02/2017,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,214,Employment/Retail/Housing/Leisure,Retail floorspace: 300 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved planning application: 4265/15 - Located within Ilford Housing Zone - Local Plan allocation site number: 2,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0003,,"Britainnia Music - 60-70 Roden Street and land between Chapel Road and Roden Street, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0003,WGS84,0.067334,51.556747,0.7,Not owned by a public authority,Yes,Permissioned,Full planning permission,02/10/2013,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,354,Employment/Retail/ Housing,"Retail floorspace: 831 sq.m Employment floorspace: 2,510 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved planning application - 2434/12 - Located within Ilford Housing Zone - Local Plan allocation site number: 3,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0004,,"Depot Mill Road/Mill House, Ilford Hill",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0004,WGS84,0.066415,51.557713,0.91,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,342,Employment/ Housing,"Employment floorspace: 2,275 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 4,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0005,,"Ley Street car park and bus depot, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0005,WGS84,0.07696,51.561198,0.5,Owned by a public authority,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,182,Housing/Education,Education Provision: Primary School,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 5,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0006,,"Town Hall Car Park, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0006,WGS84,0.074,51.558495,0.7,Owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,203,Civic/Leisure/Retail/Housing,"Retail floorspace: 2,000 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 6,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0007,,"Land bounded by Clements Road, Chadwick Road and Postway Mews, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0007,WGS84,0.072695,51.557843,0.57,Mixed ownership,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,180,Retail/Employment/ Housing,"Retail floorspace: 2,500 sq.m Employment floorspace: 1,425 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 7,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0008,,"If Bar 71 Ilford Hill, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0008,WGS84,0.068985,51.55851,0.15,Owned by a public authority,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,52,Retail/Employment/Housing,Retail floorspace: 350 sq.m Employment floorspace: 375 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 8,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0009,,"193-207 High Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0009,WGS84,0.075089,51.559782,0.31,Not owned by a public authority,Yes,Pending decision,Full planning permission,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,285,Retail/Employment/ Housing,"Retail floorspace: 3,000 sq.m Employment floorspace: 1,750 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Planning application: 4326/16 - Located within Ilford Housing Zone - Local Plan allocation site number: 9,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0010,,"Site bounded by Chapel Road, High Road and Clements Lane, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0010,WGS84,0.071112,51.558016,0.74,Mixed ownership,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,251,Retail/Employment /Housing,"Retail floorspace: 6,000 sq.m Employment floorspace: 1,850 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 10,31/12/2017,31/12/2017
