OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,EM36,,FORMER VICTORIA COTTAGE HOSPITAL EMSWORTH,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,474919,105944,0.16,unknown ownership,,not permissioned,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_49953_1,,15,,,,15,15,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,EM42,,NORTH STREET GAS SITE EMSWORTH,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,475008,106111,0.46,not owned by a public authority,,not permissioned,,,,,15,,,,15,15,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,EM43,,LAND AT FOWLEY COTTAGE WARBLINGTON CLOSE EMSWORTH,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,474437,105424,1.15,not owned by a public authority,,not permissioned,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_49262_1,,7,,,,7,7,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,H14,,PORTSMOUTH WATER HQ HAVANT,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,471204,106381,3.17,not owned by a public authority,yes,not permissioned,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2468_1,,120,,,,120,120,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,H19,,LAND AT PALK ROAD HAVANT,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,470705,106450,0.53,not owned by a public authority,,not permissioned,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2499_1,,21,,,,21,21,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,H22,,CAR PARK BEHIND THE BEAR HOTEL AND EAST STREET HAVANT,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,471927,106310,0.93,mixed ownership,,not permissioned,,,,,40,,,,40,40,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,H69,,LAND AT FORMER OAK PARK SCHOOL HAVANT,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,472099,107106,2.26,unknown ownership,yes,permissioned,full planning permission,18/12/2015,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2054_4,,99,"HAVANT HEALTH AND WELLBEING CAMPUS, COMPRISING AN 80 BED NURSING HOME, 51 AFFORDABLE EXTRA CARE FLATS, 48 AFFORDABLE AND MARKET SUPPORTED LIVING FLATS & COMMUNITY HUB FACILITIES",,,99,99,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,H82,,KINGSCROFT FARM HAVANT,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,470637,106140,2.94,not owned by a public authority,,not permissioned,,,,,90,,,,90,90,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,HY13,,LAND REAR OF 108/110 ELM GROVE HAYLING ISLAND,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,472267,99701,0.16,not owned by a public authority,yes,not permissioned,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_58296_1,,14,,,,14,14,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,HY32,,PLAYGROUND AREAS ADJ CREEK ROAD LOCAL CENTRE HAYLING ISLAND,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,473882,94242,0.3,unknown ownership,,not permissioned,,,,,10,,,,10,10,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,HY43,,OPEN SPACE SOUTH OF BUCCANEERS PUBLIC HOUSE HAYLING ISLAND,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,473043,98538,0.11,unknown ownership,,not permissioned,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_60546_3,,20,,,,20,20,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/doc/district-council/havant,Havant Borough Council,HY45,,BEACHLANDS HAYLING ISLAND,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,OSGB36,471421,98842,1.92,mixed ownership,,not permissioned,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_1478_1,,125,,,,125,125,,,,08/12/2017,08/12/2017
