OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddresss,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part 2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,10/00540/OUT,,"""Land Between 94A Willow Street and Oak Street, Oswestry""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3853504.509,-205875.8966,0.06,Not owned by a public authority,,Not permissioned,,,,,6,"""Lapsed Outline Planning Permission previously granted for 6 dwellings.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,10/00968/FUL,,"""Phoenix Garage, Great Hales Street, Market Drayton""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3851663.864,-166928.9617,0.31,Not owned by a public authority,,Not permissioned,,,,,14,"""Lapsed Full Planning Permission previously granted for a residential development of 14 dwellings.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,10/01319/FUL,,"""Land At 1 Pinkham, Cleobury Mortimer""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3897965.499,-168724.6706,0.3,Not owned by a public authority,,Not permissioned,,,,,9,"""Lapsed Full Planning Permission previously granted for a residential development of 9 dwellings.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,10/04143/OUT,,"""Pentons Haulage And Coldstore, School Road, Ruyton XI Towns, Shrewsbury, Shropshire, SY4 1JT""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3859823.223,-195885.4784,4.77,Not owned by a public authority,,Not permissioned,,,,,80,"""Lapsed Outline Planning Permission previously granted for 80 dwellings.""",,,,,,,"""Outline Planning Permission previously granted on the 2011-12-23 (10/04143/OUT) for 94 dwellings. The application subsequently lapsed. |There remains a known interest in bringing this site forward for residential development.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,11/00983/FUL,,"""6 St Marys Street, Market Drayton""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3851675.105,-167095.5132,0.03,Not owned by a public authority,,Not permissioned,,,,,5,"""Lapsed Full Planning Permission previously granted for a residential development of 5 dwellings.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,11/02325/FUL,,"""Land at 1 Forge Way, Dorrington, Shrewsbury""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3875691.5,-187731.758,0.05,Not owned by a public authority,,Not permissioned,,,,,5,"""Lapsed Full Planning Permission previously granted for a residential development of 5 dwellings.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,11/03859/OUT,,"""Coach Garage, Village Road, Childs Ercall, Market Drayton""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3858820.973,-168417.9666,0.19,Not owned by a public authority,,Not permissioned,,,,,5,"""Lapsed Outline Planning Permission previously granted for 5 dwellings.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,11/04508/FUL,,"""7 Claremont Street, Shrewsbury""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3868121.231,-186213.1621,0.04,Not owned by a public authority,,Not permissioned,,,,,7,"""Lapsed Full Planning Permission previously granted for a residential development of 7 dwellings.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,13/00022/OUT,,"""Bromfield, 66 Spring Gardens, Shrewsbury, Shropshire, SY1 2TE""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3867064.075,-185132.2783,0.13,Not owned by a public authority,Yes,Permissioned,Outline planning permission,16/03/2016,,,9,"""Outline application for the erection of nine open market one affordable dwelling to include layout and access following demolition of existing dwelling.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,13/00097/FUL,,"""McKeand Smith & Co Ltd, Station Road, Albrighton, Wolverhampton, WV7 3EA""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3875821.992,-153491.3808,0.17,Not owned by a public authority,Yes,Permissioned,Full planning permission,08/09/2014,,,9,"""Change of use from B1 to C3 (dwelling houses); Demolition of outbuildings and office block; Conversion of existing workshop buildings to form 2 no. 2 bed dwellings; Erection of 4 no. 3 bed dwellings, 1 no. 2 bed dwelling and 1 no. 2 bed flat above garaging; Access improvements; Parking provision; and Outside waste storage.""",,,,,,,"""New Planning Application (17/02469/FUL) pending consideration on the site.""",22/12/2017,22/12/2017
